LOC,Name,Pathway,Type,Comment
105674013,protein toll-like [KO:K18809],TOLL,NA,NA
105674053,protein toll,TOLL,NA,NA
105674245,LOW QUALITY PROTEIN: dual oxidase 2-like [KO:K13411] [EC:1.11.1.-_1.6.3.1],Imd,NA,NA
105674418,"beta-1,3-glucan-binding protein-like",TOLL,NA,putative
105674426,"beta-1,3-glucan-binding protein-like",TOLL,NA,putative
105674427,"beta-1,3-glucan-binding protein-like",TOLL,NA,putative
105674707,protein toll-like [KO:K18809],TOLL,NA,NA
105674712,protein toll-like [KO:K18809],TOLL,NA,NA
105674838,dual oxidase isoform X1 [KO:K13411] [EC:1.11.1.-_1.6.3.1],Imd,NA,NA
105675559,"nitric oxide synthase, salivary gland",Imd,NA,putative
105675647,uncharacterized 105675647,TOLL,NA,putative
105675717,defensin-2,TOLL,AMPs,NA
105675778,serine/threonine-protein kinase 10-like isoform X1 [KO:K04431] [EC:2.7.12.2],Imd,NA,NA
105676037,dual oxidase-like isoform X1 [KO:K13411] [EC:1.11.1.-_1.6.3.1],Imd,NA,NA
105676050,TNF receptor-associated factor 6-A,JNK,NA,NA
105676059,RISC-loading complex subunit TARBP2-like,RNAi,NA,NA
105676081,baculoviral IAP repeat-containing protein 7-B isoform X1 [KO:K16060],Imd,NA,NA
105676082,putative inhibitor of apoptosis,Imd,NA,putative
105676117,cytokine receptor,JAK-STAT,NA,putative
105676160,ubiquitin-conjugating enzyme E2 N [KO:K10580] [EC:2.3.2.23],Imd,NA,NA
105676167,JNK-interacting protein 3,JNK,NA,NA
105676271,fas-associated death domain protein,Imd,NA,NA
105676340,mitogen-activated protein kinase kinase kinase 7-like,Imd,NA,NA
105676592,probable RNA helicase armi,RNAi,NA,NA
105676757,uncharacterized protein LOC105676757 [KO:K20694],TOLL,NA,NA
105676816,"evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",TOLL,NA,NA
105677106,cyclic AMP-dependent transcription factor ATF-7 [KO:K04450],Imd,NA,NA
105677214,protein argonaute-2 isoform X1,RNAi,NA,NA
105677438,myeloid differentiation primary response protein MyD88-like,TOLL,NA,NA
105677448,myeloid differentiation primary response protein MyD88-A-like,TOLL,NA,NA
105677519,ubiquitin-conjugating enzyme E2 variant 2 [KO:K10704],Imd,NA,NA
105677688,embryonic polarity protein dorsal-like,TOLL,NA,NA
105677755,embryonic polarity protein dorsal,TOLL,NA,NA
105677920,tyrosine-protein kinase hopscotch,JAK-STAT,NA,NA
105678063,peptidoglycan-recognition protein LC-like,Imd,PGRPs,NA
105678078,JNK-interacting protein 1,JNK,NA,NA
105678219,uncharacterized 105678219,TOLL,NA,putative
105678356,uncharacterized 105678356,TOLL,NA,putative
105678357,protein spaetzle,TOLL,NA,NA
105678455,caspase-3,Imd,NA,putative
105678458,toll-interacting protein-like,TOLL,NA,NA
105678482,NF-kappa-B inhibitor cactus-like,TOLL,NA,NA
105678483,NF-kappa-B inhibitor cactus-like,TOLL,NA,NA
105678605,cactin,TOLL,NA,NA
105678648,protein toll-like [KO:K18809],TOLL,NA,NA
105678784,protein toll-like,TOLL,NA,NA
105678813,uncharacterized protein LOC105678813 [KO:K20701],Imd,NA,NA
105678817,protein toll-like,TOLL,NA,NA
105678818,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA
105678912,protein toll-like [KO:K18809],TOLL,NA,NA
105678915,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA
105678920,protein toll-like [KO:K18809],TOLL,NA,NA
105679052,inhibitor of nuclear factor kappa-B kinase subunit beta [KO:K07209] [EC:2.7.11.10],Imd,NA,NA
105679318,protein argonaute-3,RNAi,NA,NA
105679800,protein pellino,TOLL,inhibitor,NA
105679996,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA
105680007,protein toll,TOLL,NA,NA
105680121,LOW QUALITY PROTEIN: protein toll-like [KO:K18809],TOLL,NA,NA
