qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,database
TRINITY_DN40474_c0_g1,NP_851403.1,97.26,146,4,0,75,512,1,146,8.00E-95,306,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN35111_c0_g1,NP_851403.1,99.02,305,3,0,1,915,1621,1925,0,647,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN53096_c0_g1,YP_001040002.1,99.02,102,1,0,307,2,544,645,2.00E-65,218,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN36032_c0_g1,NP_620564.1,98.09,157,3,0,471,1,994,1150,1.00E-105,334,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN36032_c0_g6,NP_620565.1,98.12,852,16,0,1756,4311,2,853,0,1694,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN23629_c0_g1,NP_851403.1,97.63,169,4,0,507,1,129,297,5.00E-102,326,RefSeq viral protein database (19 Nov 2018)
TRINITY_DN39850_c0_g1,gi|1419338093|gb|AXA52554.1|,97.06,102,3,0,3,308,981,1082,3.00E-67,214,Viljakainen et al. 2018
TRINITY_DN30095_c0_g1,gi|1419338089|gb|AXA52552.1|,97.66,171,4,0,1,513,1442,1612,8.00E-103,318,Viljakainen et al. 2018
TRINITY_DN51807_c0_g1,gi|1419338079|gb|AXA52547.1|,97.45,157,4,0,2,472,40,196,2.00E-107,320,Viljakainen et al. 2018
TRINITY_DN35250_c0_g1,gi|1419338081|gb|AXA52548.1|,98.98,1670,15,1,5009,10018,506,2173,0,3262,Viljakainen et al. 2018
TRINITY_DN35250_c0_g2,gi|1419338081|gb|AXA52548.1|,100,779,0,0,73,2409,1,779,0,1455,Viljakainen et al. 2018
TRINITY_DN24509_c0_g1,gi|1419338111|gb|AXA52568.1|,100,238,0,0,3,716,1963,2200,2.00E-154,474,Viljakainen et al. 2018
TRINITY_DN24509_c0_g2,gi|1419338111|gb|AXA52568.1|,99.17,241,2,0,3,725,1727,1967,2.00E-168,508,Viljakainen et al. 2018
TRINITY_DN38961_c1_g2,gi|1419338097|gb|AXA52557.1|,99.67,600,2,0,134,1933,2,601,0,1192,Viljakainen et al. 2018
TRINITY_DN38961_c1_g4,gi|1419338096|gb|AXA52556.1|,99.21,252,2,0,10,765,1,252,0,520,Viljakainen et al. 2018
TRINITY_DN38961_c1_g6,gi|1419338096|gb|AXA52556.1|,100,209,0,0,1,627,231,439,3.00E-141,411,Viljakainen et al. 2018
TRINITY_DN38938_c0_g1,gi|1419338093|gb|AXA52554.1|,99.59,1465,6,0,220,4614,1,1465,0,2863,Viljakainen et al. 2018
TRINITY_DN38962_c0_g1,gi|1419338118|gb|AXA52574.1|,99.9,2091,2,0,2,6274,111,2201,0,4231,Viljakainen et al. 2018
TRINITY_DN38962_c0_g2,gi|1419338122|gb|AXA52578.1|,100,467,0,0,2037,637,1,467,0,944,Viljakainen et al. 2018
TRINITY_DN59258_c0_g1,gi|1419338094|gb|AXA52555.1|,93.14,102,7,0,16,321,601,702,2.00E-62,197,Viljakainen et al. 2018
TRINITY_DN36498_c0_g2,gi|1419338087|gb|AXA52551.1|,100,458,0,0,1,1374,1,458,0,880,Viljakainen et al. 2018
TRINITY_DN34021_c8_g1,gi|1419338076|gb|AXA52545.1|,90.57,106,10,0,320,3,871,976,8.00E-63,200,Viljakainen et al. 2018
TRINITY_DN34021_c30_g1,gi|1419338076|gb|AXA52545.1|,90.43,115,11,0,1,345,911,1025,5.00E-70,221,Viljakainen et al. 2018
TRINITY_DN34021_c32_g1,gi|1419338076|gb|AXA52545.1|,92.65,136,10,0,2,409,755,890,2.00E-79,248,Viljakainen et al. 2018
TRINITY_DN34021_c39_g1,gi|1419338076|gb|AXA52545.1|,90.43,115,11,0,3,347,941,1055,5.00E-66,209,Viljakainen et al. 2018
TRINITY_DN34021_c55_g1,gi|1419338076|gb|AXA52545.1|,94.12,102,6,0,1,306,809,910,4.00E-62,198,Viljakainen et al. 2018
TRINITY_DN34021_c58_g1,gi|1419338076|gb|AXA52545.1|,91.3,115,10,0,1,345,741,855,8.00E-57,184,Viljakainen et al. 2018
TRINITY_DN34021_c75_g1,gi|1419338076|gb|AXA52545.1|,90.24,123,12,0,3,371,688,810,3.00E-57,186,Viljakainen et al. 2018
TRINITY_DN34021_c86_g1,gi|1419338076|gb|AXA52545.1|,91.06,123,11,0,371,3,416,538,9.00E-64,204,Viljakainen et al. 2018
TRINITY_DN34021_c92_g1,gi|1419338076|gb|AXA52545.1|,92.52,107,8,0,1,321,240,346,7.00E-66,209,Viljakainen et al. 2018
TRINITY_DN34021_c96_g1,gi|1419338076|gb|AXA52545.1|,90.65,107,10,0,321,1,38,144,1.00E-62,200,Viljakainen et al. 2018
TRINITY_DN34021_c98_g1,gi|1419338076|gb|AXA52545.1|,91.59,107,9,0,1,321,456,562,1.00E-48,160,Viljakainen et al. 2018
TRINITY_DN34021_c110_g1,gi|1419338076|gb|AXA52545.1|,90.24,123,12,0,371,3,302,424,1.00E-70,223,Viljakainen et al. 2018
TRINITY_DN38551_c0_g1,gi|1419338102|gb|AXA52561.1|,100,130,0,0,8,397,1,130,1.00E-96,271,Viljakainen et al. 2018
TRINITY_DN38551_c0_g3,gi|1419338100|gb|AXA52559.1|,99.15,236,2,0,589,1296,1,236,3.00E-173,490,Viljakainen et al. 2018
TRINITY_DN38551_c0_g4,gi|1419338100|gb|AXA52559.1|,98.54,205,3,0,1,615,158,362,3.00E-150,422,Viljakainen et al. 2018
TRINITY_DN52377_c0_g1,gi|1419338078|gb|AXA52546.1|,98.29,117,2,0,5,355,444,560,2.00E-77,239,Viljakainen et al. 2018
TRINITY_DN36239_c0_g1,gi|1419338125|gb|AXA52580.1|,97.06,102,3,0,306,1,173,274,8.00E-56,179,Viljakainen et al. 2018
TRINITY_DN36239_c0_g2,gi|1419338125|gb|AXA52580.1|,98.44,961,15,0,2971,89,1,961,0,1868,Viljakainen et al. 2018
TRINITY_DN27921_c0_g1,gi|1419338075|gb|AXA52544.1|,99.21,127,1,0,3,383,451,577,3.00E-86,269,Viljakainen et al. 2018
TRINITY_DN27921_c0_g2,gi|1419338075|gb|AXA52544.1|,99.1,111,1,0,3,335,451,561,3.00E-74,234,Viljakainen et al. 2018
TRINITY_DN27921_c0_g3,gi|1419338075|gb|AXA52544.1|,99.24,131,1,0,2,394,459,589,4.00E-89,278,Viljakainen et al. 2018
TRINITY_DN38688_c0_g1,gi|1419338108|gb|AXA52566.1|,100,424,0,0,3,1274,119,542,0,822,Viljakainen et al. 2018
TRINITY_DN38688_c1_g1,gi|1419338104|gb|AXA52562.1|,99.9,2035,2,0,6268,164,1,2035,0,4152,Viljakainen et al. 2018
TRINITY_DN29842_c0_g1,gi|1419338096|gb|AXA52556.1|,99.52,208,1,0,624,1,324,531,3.00E-138,404,Viljakainen et al. 2018
TRINITY_DN24822_c0_g1,gi|1419338096|gb|AXA52556.1|,97.22,108,3,0,324,1,212,319,5.00E-74,229,Viljakainen et al. 2018
TRINITY_DN31500_c0_g1,gi|1419338075|gb|AXA52544.1|,100,110,0,0,330,1,1408,1517,2.00E-73,232,Viljakainen et al. 2018
TRINITY_DN31500_c0_g2,gi|1419338075|gb|AXA52544.1|,99.09,110,1,0,330,1,1408,1517,7.00E-73,230,Viljakainen et al. 2018
TRINITY_DN31500_c0_g3,gi|1419338075|gb|AXA52544.1|,100,158,0,0,2,475,1510,1667,4.00E-110,338,Viljakainen et al. 2018
TRINITY_DN2550_c0_g1,gi|1419338093|gb|AXA52554.1|,91.59,107,9,0,1,321,285,391,2.00E-64,206,Viljakainen et al. 2018
TRINITY_DN55081_c0_g1,gi|1419338093|gb|AXA52554.1|,92.55,188,14,0,566,3,587,774,9.00E-120,365,Viljakainen et al. 2018
TRINITY_DN56897_c0_g1,gi|1419338096|gb|AXA52556.1|,95.31,128,6,0,1,384,115,242,1.00E-85,262,Viljakainen et al. 2018
TRINITY_DN58964_c0_g1,gi|1419338111|gb|AXA52568.1|,99.15,236,2,0,2,709,1443,1678,5.00E-159,481,Viljakainen et al. 2018
TRINITY_DN30120_c0_g1,gi|1419338076|gb|AXA52545.1|,96.58,146,5,0,2,439,411,556,6.00E-85,263,Viljakainen et al. 2018
TRINITY_DN35607_c0_g1,gi|1419338091|gb|AXA52553.1|,93.58,374,24,0,1,1122,15,388,0,736,Viljakainen et al. 2018
TRINITY_DN37663_c1_g1,gi|1419338085|gb|AXA52550.1|,99.76,410,1,0,1244,15,70,479,0,854,Viljakainen et al. 2018
TRINITY_DN37663_c1_g2,gi|1419338085|gb|AXA52550.1|,99.24,132,1,0,7,402,1,132,5.00E-89,263,Viljakainen et al. 2018
