"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"933","LOC105668215","gene3009","carbonic anhydrase 2",1247
"5260","LOC105672542","gene7017","protein RFT1 homolog",2099
"6661","LOC105673943","gene8194","dehydrogenase/reductase SDR family protein 7-like",1360
"1792","LOC105669074","gene3788","protein ovo",9364
"11300","LOC105678581","gene12321","calumenin-B",1592
"9464","LOC105676745","gene10845","alanine aminotransferase 1",2545.66666666667
"12598","LOC105679879","gene1926","peroxisomal multifunctional enzyme type 2",1615.5
"10302","LOC105677583","gene11419","nuclear receptor subfamily 2 group E member 1-like",4465
"3387","LOC105670669","gene5204","short-chain dehydrogenase/reductase family 16C member 6-like",1051.66666666667
"12075","LOC105679356","gene1469","uncharacterized LOC105679356",376
"5939","LOC105673221","gene7506","probable transaldolase",1327
"842","LOC105668124","gene2962","uncharacterized LOC105668124",2037
"6403","LOC105673685","gene7998","coronin-6",2910.66666666667
"10575","LOC105677856","gene11775","uncharacterized LOC105677856",1444.33333333333
"10532","LOC105677813","gene11770","mitochondrial amidoxime-reducing component 1",1681
"10550","LOC105677831","gene11771","mitochondrial amidoxime-reducing component 1-like",2063
"8738","LOC105676019","gene10132","",300.5
"4816","LOC105672098","gene6581","ankyrin repeat domain-containing protein 12-like",3054
"7072","LOC105674354","gene8858","tyrosine aminotransferase",1542
"12548","LOC105679829","gene1695","mitochondrial glutamate carrier 1-like",1874
"645","LOC105667927","gene2762","uncharacterized LOC105667927",966
"175","LOC105667457","gene2341","aldehyde dehydrogenase, dimeric NADP-preferring-like",1496
"12808","LOC105680089","gene2100","UPF0454 protein C12orf49 homolog",1889.66666666667
"9548","LOC105676829","gene10781","stearoyl-CoA desaturase 5-like",905
"6684","LOC105673966","gene8227","pyruvate kinase-like",1867
"10429","LOC105677710","gene11724","sphingomyelin phosphodiesterase-like",2096
"10192","LOC105677473","gene11434","facilitated trehalose transporter Tret1-like",1797
"10194","LOC105677475","gene11431","elongation of very long chain fatty acids protein AAEL008004-like",1487.14285714286
"5178","LOC105672460","gene6902","UDP-glucuronosyltransferase 2B1-like",1707.66666666667
"5320","LOC105672602","gene6903","trimeric intracellular cation channel type B",1896
"7496","LOC105674777","gene8997","uncharacterized LOC105674777",2046
"6086","LOC105673368","gene7669","CDGSH iron-sulfur domain-containing protein 2 homolog",805
"9892","LOC105677173","gene11187","hemoglobin subunit beta",999
"2583","LOC105669865","gene4434","adenylate kinase isoenzyme 1",1272.8
"452","LOC105667734","gene2592","cyclin-dependent kinase inhibitor 1C-like",765
"5795","LOC105673077","gene7526","4-aminobutyrate aminotransferase, mitochondrial",2190
"4376","LOC105671658","gene6136","uncharacterized LOC105671658",742
"9506","LOC105676787","gene10831","GTP:AMP phosphotransferase AK3, mitochondrial",2005
"6575","LOC105673857","gene8297","NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",610
"3286","LOC105670568","gene5184","prisilkin-39-like",1135
"3029","LOC105670311","gene4902","isocitrate dehydrogenase [NADP] cytoplasmic",2525
"10748","LOC105678029","gene1247","uncharacterized LOC105678029",1060
"8330","LOC105675611","gene9479","protein FAM195B",2120
"6081","LOC105673363","gene7732","limulus clotting factor C-like",2258
"4778","LOC105672060","gene6458","tRNA modification GTPase GTPBP3, mitochondrial",2252.5
"4648","LOC105671930","gene677","mitochondrial 2-oxodicarboxylate carrier",1574.14285714286
"4626","LOC105671908","gene678","ectonucleoside triphosphate diphosphohydrolase 5",2565
"5312","LOC105672594","gene742","uncharacterized LOC105672594",3068.66666666667
"11194","LOC105678475","gene12362","carnitine O-acetyltransferase-like",2708
"12791","LOC105680072","gene2087","cytochrome c oxidase subunit 6A1, mitochondrial-like",539
"1688","LOC105668970","gene3657","excitatory amino acid transporter 1-like",2831
"7736","LOC105675017","gene9236","peroxidase-like",2564
"11810","LOC105679091","gene12880","protein msta, isoform B-like",2014.5
"5786","LOC105673068","gene7438","peroxisomal membrane protein 2",932
"10350","LOC105677631","gene11637","odorant receptor 13a-like",957
"8997","LOC105676278","gene10324","ATP synthase subunit e, mitochondrial",471
"10794","LOC105678075","gene11987","tyrosine 3-monooxygenase",3517
"5343","LOC105672625","gene6920","alpha-2-macroglobulin receptor-associated protein",1373
"6493","LOC105673775","gene846","elongation factor Tu, mitochondrial-like",1711
"6386","LOC105673668","gene7968","ATP synthase subunit alpha, mitochondrial",2030
"1874","LOC105669156","gene3869","uncharacterized LOC105669156",1631
"12508","LOC105679789","gene1714","putative OPA3-like protein CG13603",971
"8092","LOC105675373","gene9733","cyclin-dependent kinase 4",3114.5
"1497","LOC105668779","gene3409","troponin C, isoform 1-like",1298
"10939","LOC105678220","gene12176","tropomyosin-2-like",1527
"5385","LOC105672667","gene7096","ornithine decarboxylase antizyme 1",2071
"9286","LOC105676567","gene10323","dihydropteridine reductase",977
"4222","LOC105671504","gene5764","probable galactose-1-phosphate uridylyltransferase",1484
"5905","LOC105673187","gene7540","4-hydroxyphenylpyruvate dioxygenase",1417
"4477","LOC105671759","gene6151","GTP-binding protein SAR1b",1224.5
"4386","LOC105671668","gene6159","uncharacterized LOC105671668",772
"3661","LOC105670943","gene5494","mannose-6-phosphate isomerase",1820
"2204","LOC105669486","gene4174","cytochrome P450 4g15",2015
"10647","LOC105677928","gene11849","WW domain-containing oxidoreductase",1543
"10642","LOC105677923","gene11844","ATP synthase-coupling factor 6, mitochondrial-like",496
"41","LOC105667323","gene2238","uncharacterized LOC105667323",1242.66666666667
"8145","LOC105675426","gene9646","UNC93-like protein",2162
"5699","LOC105672981","gene7392","cytochrome P450 9e2-like",2099
"5884","LOC105673166","gene7600","muscle-specific protein 20-like",1158
"4663","LOC105671945","gene6385","uncharacterized LOC105671945",848.75
"11160","LOC105678441","gene12341","UTP--glucose-1-phosphate uridylyltransferase",1896
"3123","LOC105670405","gene5026","NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial",1526
"10491","LOC105677772","gene11616","trifunctional enzyme subunit beta, mitochondrial",1721
"10363","LOC105677644","gene11611","probable cytochrome P450 6a13",1828
"3694","LOC105670976","gene5537","L-threonine 3-dehydrogenase, mitochondrial",1327.5
"3693","LOC105670975","gene5538","DNA primase large subunit-like",1926
"5358","LOC105672640","gene6940","glucose dehydrogenase [FAD, quinone]-like",3066.5
"9476","LOC105676757","gene10871","uncharacterized LOC105676757",2368
"6934","LOC105674216","gene8489","ATP synthase subunit delta, mitochondrial",747
"10129","LOC105677410","gene11478","lipase 1-like",1861
"2306","LOC105669588","gene4220","apoptosis-inducing factor 3",2154.66666666667
"10442","LOC105677723","gene11710","short-chain dehydrogenase/reductase family 16C member 6-like",1063
"3944","LOC105671226","gene5859","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",822
"1537","LOC105668819","gene3466","isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",1682
"1536","LOC105668818","gene3467","probable ATP-dependent RNA helicase DDX10",2661
"3867","LOC105671149","gene5703","uncharacterized LOC105671149",912
"5874","LOC105673156","gene7568","aquaporin AQPAe.a",3317.66666666667
"5873","LOC105673155","gene7560","uncharacterized LOC105673155",1716.33333333333
"4329","LOC105671611","gene6178","uncharacterized LOC105671611",3663.46153846154
"924","LOC105668206","gene3282","transmembrane protease serine 9-like",2181
"9024","LOC105676305","gene10412","thiamine transporter 1-like",1953.5
"9972","LOC105677253","gene11280","putative ATP synthase subunit f, mitochondrial",547
"2075","LOC105669357","gene4035","farnesol dehydrogenase-like",1113
"2162","LOC105669444","gene4158","glucose-6-phosphate isomerase",3471
"10649","LOC105677930","gene11868","uncharacterized protein C18orf63-like",1556
"10650","LOC105677931","gene11869","ankyrin repeat and SAM domain-containing protein 3-like",2617.4
"8942","LOC105676223","gene10414","actin-interacting protein 1",1872
"4971","LOC105672253","gene6775","uncharacterized LOC105672253",3885.66666666667
"2272","LOC105669554","gene459","uncharacterized LOC105669554",1650
"6758","LOC105674040","gene8340","apolipophorins",10584
"4654","LOC105671936","gene6413","acyl-CoA synthetase family member 2, mitochondrial",2541
"4669","LOC105671951","gene6419","fatty acid 2-hydroxylase",1568
"189","LOC105667471","gene236","neurogenic locus notch homolog protein 1",1748
"11106","LOC105678387","gene12414","pupal cuticle protein-like",1230
"3980","LOC105671262","gene5833","putative ammonium transporter 3",1673
"1145","LOC105668427","gene3079","UDP-glucuronosyltransferase 2B20-like",2177
"12163","LOC105679444","gene1508","farnesol dehydrogenase-like",1125.5
"1607","LOC105668889","gene3611","protein EMRE homolog, mitochondrial",676
"3668","LOC105670950","gene5519","conserved oligomeric Golgi complex subunit 6",2111
"780","LOC105668062","gene2882","delta(9)-fatty-acid desaturase fat-7",1220
"11273","LOC105678554","gene12352","mitochondrial ubiquitin ligase activator of NFKB 1",1472
"11308","LOC105678589","gene12424","cytochrome c oxidase subunit 5B, mitochondrial-like",663
"12622","LOC105679903","gene1750","uncharacterized LOC105679903",1466
"1465","LOC105668747","gene3449","C-1-tetrahydrofolate synthase, cytoplasmic",3114
"5829","LOC105673111","gene7584","sterile alpha and TIR motif-containing protein 1",6060
"10812","LOC105678093","gene12061","glutamate receptor ionotropic, kainate 2-like",2944
"10828","LOC105678109","gene12064","DNA damage-regulated autophagy modulator protein 1-like",1142
"4446","LOC105671728","gene6192","uncharacterized LOC105671728",1815
"2639","LOC105669921","gene4580","ejaculatory bulb-specific protein 3-like",577
"12616","LOC105679897","gene1852","alpha-1,3/1,6-mannosyltransferase ALG2",1944.5
"2085","LOC105669367","gene4055","glycogen [starch] synthase",3057
"7383","LOC105674664","gene8559","cytochrome P450 6a2-like",2188
"254","LOC105667536","gene246","",267.083333333333
"5041","LOC105672323","gene6750","uncharacterized LOC105672323",1961.5
"11397","LOC105678678","gene12655","uncharacterized LOC105678678",1142
"1045","LOC105668327","gene3050","PDZ and LIM domain protein 3",2184.875
"1559","LOC105668841","gene3586","esterase E4-like",2055
"12210","LOC105679491","gene1560","RNA-binding protein fusilli",4605
"6","LOC105667288","gene2184","kynurenine formamidase",1368
"1696","LOC105668978","gene3637","acyl-CoA synthetase short-chain family member 3, mitochondrial",2393.5
"11190","LOC105678471","gene12380","prolactin regulatory element-binding protein",3227
"757","LOC105668039","gene2863","circadian clock-controlled protein-like",1110
"759","LOC105668041","gene2861","uncharacterized LOC105668041",826
"747","LOC105668029","gene2866","uncharacterized LOC105668029",458
"760","LOC105668042","gene2864","uncharacterized LOC105668042",977
"10386","LOC105677667","gene11652","actin, muscle",1864
"10393","LOC105677674","gene11651","uncharacterized LOC105677674",1983
"10387","LOC105677668","gene11655","actin-5, muscle-specific",1927
"10389","LOC105677670","gene11654","actin-5, muscle-specific",1142
"9828","LOC105677109","gene11129","serine proteinase stubble-like",2335.5
"9920","LOC105677201","gene11192","dipeptidyl peptidase 3",2830
"12446","LOC105679727","gene176","uncharacterized LOC105679727",1311
"12429","LOC105679710","gene172","probable serine/threonine-protein kinase DDB_G0283337",1795
"12342","LOC105679623","gene1779","uncharacterized LOC105679623",4268
"8362","LOC105675643","gene9795","prismalin-14-like",755
"483","LOC105667765","gene3","transcription factor Adf-1-like",1073.25
"4370","LOC105671652","gene6209","odorant receptor 47a-like",646
"8252","LOC105675533","gene9687","uncharacterized LOC105675533",2022
"10817","LOC105678098","gene12048","sodium channel protein Nach-like",2227
"10852","LOC105678133","gene12041","muscle LIM protein Mlp84B-like",2063.875
"9259","LOC105676540","gene10697","uncharacterized LOC105676540",2566.66666666667
"2264","LOC105669546","gene4287","zinc transporter 2-like",2574
"2129","LOC105669411","gene4079","protein rhomboid",3321.6
"2105","LOC105669387","gene4074","uncharacterized LOC105669387",2015
"2148","LOC105669430","gene4118","succinate dehydrogenase cytochrome b560 subunit, mitochondrial-like",859
"3080","LOC105670362","gene4999","cytochrome b-c1 complex subunit 2, mitochondrial",1637
"3449","LOC105670731","gene5302","cytochrome P450 4g15-like",2146.75
"7652","LOC105674933","gene9062","cytochrome c oxidase subunit 6B2-like",1001.5
"8385","LOC105675666","gene9837","adenylate cyclase type 10-like",5645
"4231","LOC105671513","gene5901","uncharacterized LOC105671513",2539
"8529","LOC105675810","gene9836","uncharacterized LOC105675810",4379
"4232","LOC105671514","gene5902","sarcoplasmic calcium-binding protein 1",1273
"3747","LOC105671029","gene580","uncharacterized LOC105671029",1038
"3606","LOC105670888","gene588","hexokinase type 2-like",2929.5
"9268","LOC105676549","gene1091","fatty acyl-CoA reductase 1",1988
"23","LOC105667305","gene2210","cytochrome P450 6A1-like",1252
"12225","LOC105679506","gene1549","fatty acid synthase-like",7547
"12223","LOC105679504","gene1548","acyl-CoA Delta(11) desaturase-like",1838
"12221","LOC105679502","gene1546","",212.833333333333
"12203","LOC105679484","gene1543","sorbitol dehydrogenase-like",1995
"5548","LOC105672830","gene7267","peroxisomal membrane protein PMP34",1984.5
"5604","LOC105672886","gene7283","adiponectin receptor protein",1965.33333333333
"736","LOC105668018","gene2846","uncharacterized LOC105668018",1552
"9698","LOC105676979","gene11105","cytochrome P450 9e2-like",2006
"9704","LOC105676985","gene11100","uncharacterized LOC105676985",325
"11449","LOC105678730","gene1302","uncharacterized LOC105678730",1101
"11542","LOC105678823","gene1308","CD63 antigen-like",992
"4924","LOC105672206","gene6650","UDP-glucose 4-epimerase",1709.33333333333
"2565","LOC105669847","gene4399","odorant receptor Or1-like",1477.5
"1780","LOC105669062","gene3778","acetyl-CoA acetyltransferase, cytosolic-like",1633
"10362","LOC105677643","gene11598","probable cytochrome P450 6a14",1855
"10366","LOC105677647","gene11595","diacylglycerol O-acyltransferase 2-like",1670
"10337","LOC105677618","gene11596","kynurenine 3-monooxygenase",1933
"5099","LOC105672381","gene6823","ubiquitin thioesterase OTU1",1607.5
"3462","LOC105670744","gene5321","fatty-acid amide hydrolase 2-A",2361.5
"6492","LOC105673774","gene8094","uncharacterized LOC105673774",2663.14285714286
"9652","LOC105676933","gene10970","cytochrome P450 4C1-like",1542
"9761","LOC105677042","gene10972","cytochrome P450 4C1-like",2279
"9728","LOC105677009","gene10977","apolipoprotein D",960
"3379","LOC105670661","gene5227","selenoprotein M-like",872
"7112","LOC105674394","gene8896","THAP domain-containing protein 4-like",691
"2213","LOC105669495","gene4214","retinol dehydrogenase 11-like",878
"7694","LOC105674975","gene946","odorant receptor Or2-like",855
"1513","LOC105668795","gene3545","flavin-containing monooxygenase FMO GS-OX-like 3",2167
"6555","LOC105673837","gene8201","DNA repair protein RAD52 homolog",1186
"4144","LOC105671426","gene5911","cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like",723
"4589","LOC105671871","gene6384","uncharacterized LOC105671871",2945
"2740","LOC105670022","gene4668","chymotrypsin-2-like",1004
"701","LOC105667983","gene2824","CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase, mitochondrial",1756
"6085","LOC105673367","gene7670","uncharacterized LOC105673367",1096.25
"11632","LOC105678913","gene1324","glutamate receptor-interacting protein 2",2882.6
"12563","LOC105679844","gene1855","uncharacterized LOC105679844",4709.66666666667
"12564","LOC105679845","gene1854","sodium/potassium-transporting ATPase subunit beta-1-like",1349
"10560","LOC105677841","gene11781","uncharacterized LOC105677841",1052
"10523","LOC105677804","gene11783","protein THEM6",1143
"2810","LOC105670092","gene4743","cytochrome P450 6A1-like",1560
"4394","LOC105671676","gene6248","vitellogenin-3-like",1769
"10759","LOC105678040","gene12000","BTB/POZ domain-containing protein KCTD1",2776
"11623","LOC105678904","gene12557","G-protein coupled receptor Mth-like",2733.33333333333
"1749","LOC105669031","gene3755","transcription factor Adf-1-like",654
"1750","LOC105669032","gene3752","cytochrome P450 4C1-like",1311
"10216","LOC105677497","gene11577","putative succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",921
"10213","LOC105677494","gene11575","annexin B9",1587
"10064","LOC105677345","gene11310","uncharacterized LOC105677345",1756
"5414","LOC105672696","gene7105","uncharacterized LOC105672696",1555
"5400","LOC105672682","gene7103","CKLF-like MARVEL transmembrane domain-containing protein 8",1765
"10379","LOC105677660","gene11691","mitochondrial pyruvate carrier 1",766
"8635","LOC105675916","gene10047","major royal jelly protein 5-like",784
"8425","LOC105675706","gene9934","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial-like",4419
"7755","LOC105675036","gene9243","cuticle protein 7-like",773
"8817","LOC105676098","gene1055","protein wingless",3025.75
"12242","LOC105679523","gene1581","venom carboxylesterase-6-like",1347
"12252","LOC105679533","gene1587","MICOS complex subunit Mic10",381
"2563","LOC105669845","gene4403","3-ketoacyl-CoA thiolase, mitochondrial",1700
"5528","LOC105672810","gene7196","protein yellow",1505
"11766","LOC105679047","gene12946","unconventional myosin-Ie-like",4353
"457","LOC105667739","gene2613","phospholipid scramblase 1-like",2485.6
"456","LOC105667738","gene2615","arginine kinase",2865.5
"688","LOC105667970","gene2801","gephyrin",2031
"11984","LOC105679265","gene13057","ATP synthase subunit g, mitochondrial",467
"12482","LOC105679763","gene1874","uncharacterized oxidoreductase C26H5.09c-like",1450
"12483","LOC105679764","gene1876","probable enoyl-CoA hydratase, mitochondrial",1157
"4974","LOC105672256","gene6618","protein croquemort-like",3493
"486","LOC105667768","gene2575","uncharacterized LOC105667768",768
"489","LOC105667771","gene2573","pheromone-binding protein Gp-9-like",669
"487","LOC105667769","gene2572","pheromone-binding protein Gp-9-like",683
"8156","LOC105675437","gene9694","chymotrypsin inhibitor-like",479
"8155","LOC105675436","gene9693","chymotrypsin inhibitor-like",353
"2497","LOC105669779","gene4385","CD63 antigen",1989
"5171","LOC105672453","gene6949","phosphoglycerate mutase 1",1100
"5450","LOC105672732","gene7140","striated muscle preferentially expressed protein kinase-like",5039
"5438","LOC105672720","gene7145","mannose-P-dolichol utilization defect 1 protein homolog",1369
"3499","LOC105670781","gene5366","electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",2547
"6476","LOC105673758","gene8052","beta-lactamase-like protein 2",1715
"10233","LOC105677514","gene11556","methyltransferase-like protein 22",1604.6
"6263","LOC105673545","gene7889","phosphoglucomutase-2",2551
"5288","LOC105672570","gene7020","major facilitator superfamily domain-containing protein 6",2166.33333333333
"2239","LOC105669521","gene4281","glucose dehydrogenase [FAD, quinone]",2666
"2265","LOC105669547","gene4288","uncharacterized LOC105669547",839
"7901","LOC105675182","gene9304","cat eye syndrome critical region protein 5-like",3433
"7874","LOC105675155","gene9303","zinc finger protein 853-like",3479
"1912","LOC105669194","gene3935","coiled-coil domain-containing protein 103-like",706.5
"11798","LOC105679079","gene12968","malate dehydrogenase, mitochondrial",1511
"3256","LOC105670538","gene5144","uncharacterized LOC105670538",2060.66666666667
"6297","LOC105673579","gene7931","fructose-bisphosphate aldolase-like",2304
"7873","LOC105675154","gene9301","patched domain-containing protein 3-like",5023
"427","LOC105667709","gene2639","uncharacterized LOC105667709",3483
"474","LOC105667756","gene2635","UDP-glucuronosyltransferase-like",2225
"2403","LOC105669685","gene4366","juvenile hormone epoxide hydrolase 1-like",1519
"2402","LOC105669684","gene4365","juvenile hormone epoxide hydrolase 1-like",1554
"4842","LOC105672124","gene6638","ribonuclease Oy",1490
"4839","LOC105672121","gene6637","ATP-binding cassette sub-family G member 1",2188.8
"3098","LOC105670380","gene5011","neuropeptide-like 3",637
"11677","LOC105678958","gene12775","SPARC",2055
"11679","LOC105678960","gene12774","uncharacterized LOC105678960",515
"11345","LOC105678626","gene12511","endocuticle structural glycoprotein SgAbd-2-like",1061
"11348","LOC105678629","gene12510","endocuticle structural glycoprotein SgAbd-1",2947
"1664","LOC105668946","gene3713","uncharacterized LOC105668946",583
"7820","LOC105675101","gene9286","tropomyosin",2160.76923076923
"1735","LOC105669017","gene3742","LYR motif-containing protein 5",577
"1494","LOC105668776","gene3549","uncharacterized LOC105668776",547
"5571","LOC105672853","gene7220","peptidoglycan recognition protein-like",1683
"10185","LOC105677466","gene11536","cytochrome c oxidase subunit 5A, mitochondrial",854
"6748","LOC105674030","gene8380","mitochondrial import inner membrane translocase subunit Tim17-B-like",1049
"8238","LOC105675519","gene9522","uncharacterized LOC105675519",1788
"5462","LOC105672744","gene7159","probable phospholipid-transporting ATPase VD",6245
"241","LOC105667523","gene2383","tropomyosin-1",1339
"4801","LOC105672083","gene6545","cytochrome P450 4c21-like",739
"2751","LOC105670033","gene4606","glucosylceramidase-like",1957
"1660","LOC105668942","gene3708","ADP-ribosylation factor-like protein 5B",3056
"11019","LOC105678300","gene12188","reticulon-4-interacting protein 1 homolog, mitochondrial-like",1827.66666666667
"4413","LOC105671695","gene6098","myosin light chain alkali",1227
"1659","LOC105668941","gene3707","probable citrate synthase 2, mitochondrial",3447
"12454","LOC105679735","gene1839","UPF0554 protein C2orf43 homolog",1569.66666666667
"9993","LOC105677274","gene11270","ATP synthase lipid-binding protein, mitochondrial",1159.25
"433","LOC105667715","gene267","gamma-aminobutyric acid receptor alpha-like",1675.5
"11561","LOC105678842","gene12755","",207.5
"11369","LOC105678650","gene12758","elongation of very long chain fatty acids protein AAEL008004-like",713
"8133","LOC105675414","gene998","acidic fibroblast growth factor intracellular-binding protein",2368
"8141","LOC105675422","gene999","pyruvate dehydrogenase E1 component subunit beta, mitochondrial-like",2007
"2559","LOC105669841","gene4548","2-hydroxyacyl-CoA lyase 1",2369
"11415","LOC105678696","gene12537","NADH-ubiquinone oxidoreductase 49 kDa subunit",1817.5
"11419","LOC105678700","gene12534","uncharacterized LOC105678700",1287
"3838","LOC105671120","gene5631","serine protease snake-like",1403
