"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"3361","LOC105670643","gene5242","nucleosome assembly protein 1-like 1-B",1741
"10189","LOC105677470","gene1188","diphosphoinositol polyphosphate phosphohydrolase 1",1467
"10221","LOC105677502","gene1187","glutamate-rich WD repeat-containing protein 1",1520.5
"2997","LOC105670279","gene4917","ATP-dependent RNA helicase DHX8",4771
"11887","LOC105679168","gene12898","beta-1,4-glucuronyltransferase 1-like",2582.33333333333
"11380","LOC105678661","gene12726","probable 18S rRNA (guanine-N(7))-methyltransferase",1082
"3801","LOC105671083","gene5667","conserved oligomeric Golgi complex subunit 7",2923
"3797","LOC105671079","gene5663","suppressor of tumorigenicity 14 protein-like",2157
"6234","LOC105673516","gene7915","proteasome subunit alpha type-1",1016
"6601","LOC105673883","gene8238","N-acetylneuraminate lyase-like",1241
"12648","LOC105679929","gene1960","BTB/POZ domain-containing protein 17",1922
"2323","LOC105669605","gene4210","A disintegrin and metalloproteinase with thrombospondin motifs 20-like",3522
"8969","LOC105676250","gene10631","actin-related protein 5",2110
"8390","LOC105675671","gene9884","uncharacterized LOC105675671",7521
"342","LOC105667624","gene2462","40S ribosomal protein S3a",896
"6613","LOC105673895","gene8173","lymphokine-activated killer T-cell-originated protein kinase",1282
"6617","LOC105673899","gene8171","ras-related protein Rab-38-like",1324
"6612","LOC105673894","gene8170","phosphotriesterase-related protein-like",1657
"1713","LOC105668995","gene3717","cleavage stimulation factor subunit 2",1477.5
"12512","LOC105679793","gene1799","serine/threonine-protein kinase grp",1765
"11149","LOC105678430","gene12287","39S ribosomal protein L50, mitochondrial",782
"11145","LOC105678426","gene12288","uncharacterized LOC105678426",2157
"12057","LOC105679338","gene1425","F-box only protein 44-like",1213.25
"12055","LOC105679336","gene1421","protein-cysteine N-palmitoyltransferase porcupine",1778
"1066","LOC105668348","gene3001","uncharacterized LOC105668348",952.8
"1122","LOC105668404","gene3139","pre-mRNA 3'-end-processing factor FIP1",3077.66666666667
"9874","LOC105677155","gene11224","transmembrane protein 216-like",1175
"9943","LOC105677224","gene11228","scaffold protein salvador",1849
"5913","LOC105673195","gene7488","THO complex subunit 3",1373
"5914","LOC105673196","gene7489","uncharacterized LOC105673196",1428
"5912","LOC105673194","gene7487","probable 26S proteasome non-ATPase regulatory subunit 3",1937
"7260","LOC105674542","gene8764","dipeptidase 1-like",1985.5
"10401","LOC105677682","gene11739","signal-induced proliferation-associated 1-like protein 1",10160
"1410","LOC105668692","gene3495","histone acetyltransferase KAT8-like",1863
"10405","LOC105677686","gene11737","uncharacterized LOC105677686",3086.5
"10613","LOC105677894","gene1228","periodic tryptophan protein 2 homolog",3093
"10632","LOC105677913","gene1229","asparagine--tRNA ligase, cytoplasmic",2294
"7738","LOC105675019","gene967","transcription factor HES-1",3280.57142857143
"9807","LOC105677088","gene1161","cytochrome P450 9e2-like",2095
"7092","LOC105674374","gene8576","uncharacterized LOC105674374",625
"3976","LOC105671258","gene617","26S protease regulatory subunit 7",1534
"7398","LOC105674679","gene8578","uncharacterized LOC105674679",1232
"5642","LOC105672924","gene7311","POC1 centriolar protein homolog A",1688
"3334","LOC105670616","gene5250","U3 small nucleolar RNA-associated protein 15 homolog",1790
"3333","LOC105670615","gene5253","protein prenyltransferase alpha subunit repeat-containing protein 1",2519
"7336","LOC105674618","gene8642","ester hydrolase C11orf54 homolog",1412
"9688","LOC105676969","gene11031","RNA-binding protein lark",1964.64
"11635","LOC105678916","gene12743","uncharacterized LOC105678916",1658
"9804","LOC105677085","gene11035","proline-rich protein 12-like",1460
"1220","LOC105668502","gene3275","very-long-chain 3-oxoacyl-CoA reductase",1869
"1228","LOC105668510","gene3274","lethal(2)neighbour of tid protein",1651
"5762","LOC105673044","gene7427","WD and tetratricopeptide repeats protein 1",2261
"1079","LOC105668361","gene3272","sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like",7465
"10374","LOC105677655","gene11699","probable phenylalanine--tRNA ligase beta subunit",2180
"1957","LOC105669239","gene3956","T-cell activation inhibitor, mitochondrial",1976.5
"9353","LOC105676634","gene10342","carboxypeptidase B-like",1686
"10466","LOC105677747","gene116","uncharacterized LOC105677747",1076
"5424","LOC105672706","gene7121","glutamyl-tRNA(Gln) amidotransferase subunit A, mitochondrial",2020.5
"4755","LOC105672037","gene6533","methyltransferase-like protein 17, mitochondrial",1575.75
"10881","LOC105678162","gene12112","uncharacterized LOC105678162",2219.6
"6658","LOC105673940","gene8295","uncharacterized LOC105673940",962.5
"12085","LOC105679366","gene1444","outer dense fiber protein 3-like",1570
"12102","LOC105679383","gene1441","solute carrier family 25 member 35-like",1427
"3727","LOC105671009","gene5568","adenosine receptor A2b-like",4848
"3628","LOC105670910","gene5431","SAGA-associated factor 29 homolog",1600
"864","LOC105668146","gene2944","V-type proton ATPase subunit H",1743
"3646","LOC105670928","gene593","60S ribosomal protein L4",1422
"10428","LOC105677709","gene1205","replication protein A 32 kDa subunit-like",1234
"7427","LOC105674708","gene904","uncharacterized LOC105674708",1134
"7976","LOC105675257","gene9432","uncharacterized LOC105675257",5713
"7966","LOC105675247","gene9436","",157
"654","LOC105667936","gene2783","arf-GAP domain and FG repeat-containing protein 1",1555.66666666667
"4703","LOC105671985","gene6492","eukaryotic translation initiation factor 2 subunit 3, Y-linked",1711
"11226","LOC105678507","gene12323","26S proteasome non-ATPase regulatory subunit 14",1193
"11221","LOC105678502","gene12325","H/ACA ribonucleoprotein complex subunit 4",1650
"2791","LOC105670073","gene4642","serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",2297
"3247","LOC105670529","gene5173","39S ribosomal protein L39, mitochondrial",1298
"3081","LOC105670363","gene4995","tubulin alpha-1 chain",1590
"2215","LOC105669497","gene4256","uncharacterized LOC105669497",1613
"6394","LOC105673676","gene8006","WD repeat-containing protein 36",2800
"8705","LOC105675986","gene10094","WD repeat-containing protein 92",1373
"8706","LOC105675987","gene10093","DNA-directed RNA polymerases I, II, and III subunit RPABC3",761
"9300","LOC105676581","gene10445","protein CNPPD1",1647
"9563","LOC105676844","gene10898","ubiquitin-related modifier 1",724
"7043","LOC105674325","gene8749","zinc finger protein Xfin-like",970
"1329","LOC105668611","gene3376","uncharacterized LOC105668611",1524
"1325","LOC105668607","gene3373","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1",1482.5
"1169","LOC105668451","gene3226","guanylate cyclase soluble subunit beta-1",2442.66666666667
"1217","LOC105668499","gene3225","uncharacterized LOC105668499",2327
"5942","LOC105673224","gene7505","PBAN-type neuropeptides-like",811
"4431","LOC105671713","gene6110","peroxiredoxin 1",914
"4433","LOC105671715","gene6114","WD40 repeat-containing protein SMU1",1875
"9105","LOC105676386","gene10426","membrane protein FAM174B-like",1277
"8945","LOC105676226","gene10424","uncharacterized LOC105676226",1107
"11102","LOC105678383","gene1266","probable protein phosphatase 2C T23F11.1",1504
"11049","LOC105678330","gene1267","ADP-ribosylation factor GTPase-activating protein 2",1728.25
"8029","LOC105675310","gene9458","uncharacterized LOC105675310",1809
"4471","LOC105671753","gene659","trypsin-3-like",1805
"4352","LOC105671634","gene653","cyclin-dependent kinase-like 4",1457.66666666667
"11741","LOC105679022","gene12832","uncharacterized LOC105679022",1304
"646","LOC105667928","gene2763","",579
"7688","LOC105674969","gene9159","uncharacterized LOC105674969",2216.33333333333
"12813","LOC105680094","gene2108","gastrula zinc finger protein XlCGF7.1-like",618
"11245","LOC105678526","gene12306","uncharacterized LOC105678526",506
"3922","LOC105671204","gene5825","quinone oxidoreductase-like protein 2",1477
"2675","LOC105669957","gene4622","transmembrane 7 superfamily member 3-like",1975
"329","LOC105667611","gene2507","splicing factor 3A subunit 3",2459
"6707","LOC105673989","gene8229","uncharacterized LOC105673989",2964
"12476","LOC105679757","gene1901","protein big brother-like",3225
"12475","LOC105679756","gene1902","adenosylhomocysteinase",1536
"3369","LOC105670651","gene5201","zinc finger protein 721-like",4379
"3740","LOC105671022","gene5578","RNA-binding protein with serine-rich domain 1-B-like",1747
"8500","LOC105675781","gene9867","ribokinase-like",1382
"5740","LOC105673022","gene7418","2-hydroxyacylsphingosine 1-beta-galactosyltransferase-like",4336
"9937","LOC105677218","gene11205","nucleolar complex protein 3 homolog",2402.5
"203","LOC105667485","gene2375","26S proteasome non-ATPase regulatory subunit 11",1853
"1482","LOC105668764","gene3425","60S ribosomal protein L7a",975
"4200","LOC105671482","gene5810","large subunit GTPase 1 homolog",2182
"4031","LOC105671313","gene5816","ATP-binding cassette sub-family F member 2",2538.5
"10195","LOC105677476","gene115","tyrosine-protein phosphatase non-receptor type 2",2444
"621","LOC105667903","gene2597","A-kinase anchor protein 14-like",2612.4
"629","LOC105667911","gene2595","uncharacterized LOC105667911",2012
"4536","LOC105671818","gene6281","protein suppressor of forked",3125
"5796","LOC105673078","gene7527","uncharacterized LOC105673078",2154
"5797","LOC105673079","gene7529","MICAL-like protein 1",4025
"4375","LOC105671657","gene6137","exosome complex exonuclease RRP42",1088
"5755","LOC105673037","gene7423","protein PET117 homolog, mitochondrial",315
"11754","LOC105679035","gene1339","oxidative stress-responsive serine-rich protein 1",1940.5
"6659","LOC105673941","gene8294","uncharacterized LOC105673941",3620
"3167","LOC105670449","gene5048","protein archease-like",1504
"2320","LOC105669602","gene4197","uncharacterized LOC105669602",3920
"2308","LOC105669590","gene4191","fidgetin-like protein 1",2581
"8710","LOC105675991","gene10112","26S protease regulatory subunit 4",1504
"5457","LOC105672739","gene7163","uncharacterized LOC105672739",1293
"2466","LOC105669748","gene4500","segmentation protein Runt-like",2128
"12830","LOC105680111","gene2122","poly(U)-binding-splicing factor half pint",2799.75
"8718","LOC105675999","gene10106","zinc finger protein-like 1",1564
"7744","LOC105675025","gene9231","phospholipase A2",1993
"11620","LOC105678901","gene12734","high affinity nerve growth factor receptor-like",2827
"8193","LOC105675474","gene9542","WD repeat-containing protein 34-like",1633
"1120","LOC105668402","gene344","protein crooked neck",2306.5
"9224","LOC105676505","gene10327","COP9 signalosome complex subunit 8",1387
"3710","LOC105670992","gene5554","tubulin polyglutamylase TTLL4-like",2033
"3711","LOC105670993","gene5555","enhancer of split mbeta protein-like",1908
"3225","LOC105670507","gene5164","DNA-3-methyladenine glycosylase-like",1342.5
"6914","LOC105674196","gene8465","uncharacterized LOC105674196",2910.66666666667
"6912","LOC105674194","gene8460","uncharacterized LOC105674194",1877
"6918","LOC105674200","gene881","uncharacterized LOC105674200",3612.5
"8377","LOC105675658","gene9808","odorant receptor 30a-like",603
"8512","LOC105675793","gene9807","",109.5
"7951","LOC105675232","gene9424","uncharacterized LOC105675232",4345
"12506","LOC105679787","gene1711","WAS/WASL-interacting protein family member 3-like",2322
"12507","LOC105679788","gene1713","uncharacterized LOC105679788",1652
"12525","LOC105679806","gene1719","mitotic checkpoint protein BUB3",1342
"10929","LOC105678210","gene12178","ATP-dependent RNA helicase DDX24",2550
"5402","LOC105672684","gene7090","protein hairy",2543
"5909","LOC105673191","gene7545","uncharacterized LOC105673191",1582
"5968","LOC105673250","gene7543","ribosome biogenesis protein WDR12 homolog",1824
"10119","LOC105677400","gene11451","uncharacterized LOC105677400",4193.5
"10106","LOC105677387","gene11453","facilitated trehalose transporter Tret1-like",2430
"2051","LOC105669333","gene4013","neutral alpha-glucosidase AB",3189
"2201","LOC105669483","gene4170","TWiK family of potassium channels protein 7",1416.5
"10631","LOC105677912","gene11848","transport and Golgi organization protein 6 homolog",3288
"10619","LOC105677900","gene11843","THO complex subunit 4",1310
"4898","LOC105672180","gene6712","tubulin alpha-1 chain-like",1593
"4899","LOC105672181","gene6715","beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase",1803.66666666667
"7651","LOC105674932","gene9056","superoxide dismutase [Cu-Zn]-like",834
"2393","LOC105669675","gene471","uncharacterized LOC105669675",840
"2399","LOC105669681","gene470","uncharacterized LOC105669681",1489.8
"578","LOC105667860","gene2722","relaxin receptor 1",2712.16666666667
"2368","LOC105669650","gene4329","",498.25
"4636","LOC105671918","gene6434","E3 UFM1-protein ligase 1 homolog",2571
"4809","LOC105672091","gene696","TNF receptor-associated factor 4",3143
"11447","LOC105678728","gene12693","Sjoegren syndrome nuclear autoantigen 1 homolog",597
"5883","LOC105673165","gene7601","alpha-N-acetylgalactosaminidase-like",1639
"11127","LOC105678408","gene12438","uncharacterized LOC105678408",1068
"11182","LOC105678463","gene12349","60S ribosomal protein L18-like",683
"353","LOC105667635","gene2508","transferrin-like",2521
"10440","LOC105677721","gene11712","coiled-coil domain-containing protein 102A",1806
"1693","LOC105668975","gene3677","HMG box-containing protein 4",1429.4
"1681","LOC105668963","gene3676","U3 small nucleolar ribonucleoprotein protein IMP4",1178
"1623","LOC105668905","gene3679","ruvB-like 1",1542
"5886","LOC105673168","gene7606","uncharacterized LOC105673168",1796
"3289","LOC105670571","gene5165","disrupted in renal carcinoma protein 2-like",1488
"9477","LOC105676758","gene10873","ninjurin-1",1179
"9473","LOC105676754","gene10874","uncharacterized LOC105676754",1826.66666666667
"9544","LOC105676825","gene10877","transmembrane protein 19",1406
"9343","LOC105676624","gene10452","carbonyl reductase [NADPH] 1-like",1074
"6545","LOC105673827","gene867","cationic amino acid transporter 2-like",2029
"1852","LOC105669134","gene3848","uncharacterized LOC105669134",1695.5
"8423","LOC105675704","gene9829","uncharacterized LOC105675704",779
"1854","LOC105669136","gene3842","galactokinase-like",1581.66666666667
"10153","LOC105677434","gene11513","thioredoxin domain-containing protein 17-like",737
"4004","LOC105671286","gene5855","high mobility group protein 20A",1854.25
"4005","LOC105671287","gene5851","uncharacterized LOC105671287",886
"3868","LOC105671150","gene5704","odorant receptor 43a-like",414
"5870","LOC105673152","gene7569","aquaporin AQPAn.G",1722.33333333333
"10003","LOC105677284","gene11287","general transcription factor IIF subunit 1",1934
"9970","LOC105677251","gene11282","protein FAM69C",2376.5
"11346","LOC105678627","gene1285","eukaryotic translation initiation factor 3 subunit F-like",1122
"2173","LOC105669455","gene4151","zinc finger protein 664-like",1187
"5244","LOC105672526","gene6886","uncharacterized LOC105672526",952
"5603","LOC105672885","gene773","BMP and activin membrane-bound inhibitor homolog",2032
"80","LOC105667362","gene2252","uncharacterized LOC105667362",1951
"190","LOC105667472","gene2353","U4/U6 small nuclear ribonucleoprotein Prp31",1818
"2288","LOC105669570","gene4227","pre-mRNA-splicing factor CWC22 homolog",2580
"7061","LOC105674343","gene8744","longitudinals lacking protein, isoform G-like",1024
"11284","LOC105678565","gene12410","uncharacterized LOC105678565",1034
"1197","LOC105668479","gene3070","TBC1 domain family member 10A-like",1596
"7037","LOC105674319","gene8743","gastrula zinc finger protein XlCGF57.1-like",495
"1594","LOC105668876","gene3616","uncharacterized LOC105668876",2290
"1615","LOC105668897","gene3614","transcription activator MSS11",1847
"5282","LOC105672564","gene6969","acetyl-CoA hydrolase-like",2105
"5947","LOC105673229","gene7618","multivesicular body subunit 12B",2187
"7268","LOC105674550","gene8649","uncharacterized LOC105674550",2304.5
"10422","LOC105677703","gene11675","RNA polymerase II-associated factor 1 homolog",2212
"10490","LOC105677771","gene11672","angiotensin-converting enzyme-like",2223
"9535","LOC105676816","gene10817","evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",1410.5
"9448","LOC105676729","gene10811","glutaryl-CoA dehydrogenase, mitochondrial",1577
"10324","LOC105677605","gene11499","guanine nucleotide-binding protein subunit beta-like protein",1114
"6621","LOC105673903","gene849","uncharacterized LOC105673903",1389
"8123","LOC105675404","gene9517","uncharacterized LOC105675404",4602.5
"8164","LOC105675445","gene9770","serine/threonine-protein phosphatase 4 regulatory subunit 1-like",4493
"7168","LOC105674450","gene8783","uncharacterized LOC105674450",3011
"8681","LOC105675962","gene1070","A disintegrin and metalloproteinase with thrombospondin motifs 12-like",3215.5
"1533","LOC105668815","gene3442","zinc finger protein 665-like",3795
"3927","LOC105671209","gene5873","elongator complex protein 6-like",1071
"10830","LOC105678111","gene12066","uncharacterized LOC105678111",4456
"4447","LOC105671729","gene6191","uncharacterized LOC105671729",1452
"2656","LOC105669938","gene4586","proteasomal ubiquitin receptor ADRM1 homolog",1353
"9041","LOC105676322","gene10536","uncharacterized LOC105676322",2530
"12528","LOC105679809","gene1851","splicing factor 45",2046
"7681","LOC105674962","gene9165","uncharacterized LOC105674962",1287
"7684","LOC105674965","gene9164","uncharacterized LOC105674965",786
"10561","LOC105677842","gene11805","thymidylate synthase",1794.25
"10565","LOC105677846","gene11803","uncharacterized LOC105677846",3463
"3331","LOC105670613","gene5265","furin-like protease 2",6589
"11393","LOC105678674","gene12656","muscle M-line assembly protein unc-89-like",1480
"11392","LOC105678673","gene12658","probable G-protein coupled receptor Mth-like 1",2001.5
"11390","LOC105678671","gene12659","probable G-protein coupled receptor Mth-like 5",2957
"953","LOC105668235","gene3055","40S ribosomal protein S4",952
"1558","LOC105668840","gene3581","uncharacterized LOC105668840",951
"1620","LOC105668902","gene3635","uncharacterized LOC105668902",5653
"1571","LOC105668853","gene3633","WD repeat-containing protein 18",1484
"10487","LOC105677768","gene11730","proclotting enzyme",3310
"6209","LOC105673491","gene7856","DNA repair protein RAD51 homolog A",1489
"5557","LOC105672839","gene7240","rab11 family-interacting protein 4",2342
"761","LOC105668043","gene2868","uncharacterized LOC105668043",1374
"12723","LOC105680004","gene1988","uncharacterized LOC105680004",1625
"6512","LOC105673794","gene8111","putative lipoyltransferase 2, mitochondrial",1592.25
"10385","LOC105677666","gene11656","angiotensin-converting enzyme-like",2530
"8890","LOC105676171","gene10297","probable peptide chain release factor C12orf65 homolog, mitochondrial",590
"9498","LOC105676779","gene10839","probable actin-related protein 2/3 complex subunit 2",1936
"4935","LOC105672217","gene6741","protein C12orf4 homolog",2251
"3200","LOC105670482","gene5099","U3 small nucleolar ribonucleoprotein protein MPP10",3146.5
"12750","LOC105680031","gene2048","peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase",2263.66666666667
"5169","LOC105672451","gene7039","coiled-coil domain-containing protein 142",2517
"2544","LOC105669826","gene4424","tRNA-dihydrouridine(47) synthase [NAD(P)( )]-like",2247
"2109","LOC105669391","gene4078","probable elongator complex protein 3",1884
"5339","LOC105672621","gene6930","dipeptidyl peptidase 9",4061.5
"2443","LOC105669725","gene4420","beta-1,3-galactosyltransferase 6",1896
"2783","LOC105670065","gene510","putative serine/threonine-protein kinase F31E3.2",1680.5
"10594","LOC105677875","gene11820","uncharacterized LOC105677875",936
"3459","LOC105670741","gene5307","centromere-associated protein E-like",6380
"6695","LOC105673977","gene8305","60S acidic ribosomal protein P1",590
"7123","LOC105674405","gene8826","uncharacterized LOC105674405",1462
"9204","LOC105676485","gene1093","uncharacterized LOC105676485",1655
"9193","LOC105676474","gene1099","RING-box protein 2",926
"1031","LOC105668313","gene3031","notchless protein homolog 1",1735
"11636","LOC105678917","gene12675","methyltransferase-like protein 7A",1348.42857142857
"11927","LOC105679208","gene12908","uncharacterized LOC105679208",2508.66666666667
"3311","LOC105670593","gene5157","anaphase-promoting complex subunit 15-like",704
"4061","LOC105671343","gene6018","CCR4-NOT transcription complex subunit 2",2335
"6012","LOC105673294","gene7650","uncharacterized LOC105673294",296
"10754","LOC105678035","gene12005","uncharacterized LOC105678035",3009
"6570","LOC105673852","gene8215","protein transport protein Sec61 subunit beta",636
"7299","LOC105674581","gene8798","serine--tRNA ligase, mitochondrial",1743
"5980","LOC105673262","gene806","protein mago nashi homolog",681
"10318","LOC105677599","gene118","uncharacterized LOC105677599",1418
"6181","LOC105673463","gene7803","phospholipase A-2-activating protein",2570
"9416","LOC105676697","gene10761","calcium homeostasis endoplasmic reticulum protein",3481
"387","LOC105667669","gene2535","uncharacterized LOC105667669",1766.5
"394","LOC105667676","gene2536","protein CDV3 homolog",3244.5
"12714","LOC105679995","gene2020","cation-independent mannose-6-phosphate receptor",2834
"4315","LOC105671597","gene6226","prion-like-(Q/N-rich) domain-bearing protein 25",1513
"2478","LOC105669760","gene4523","CDGSH iron-sulfur domain-containing protein 3, mitochondrial",678
"5100","LOC105672382","gene6825","yrdC domain-containing protein, mitochondrial",1794.5
"5098","LOC105672380","gene6824","protein LMBR1L",3058
"3447","LOC105670729","gene5320","MOB kinase activator-like 1",3877
"6498","LOC105673780","gene8090","uncharacterized LOC105673780",921
"3381","LOC105670663","gene5229","clathrin light chain",995
"3377","LOC105670659","gene5226","pre-mRNA-processing factor 19",1808
"8435","LOC105675716","gene9945","uncharacterized LOC105675716",959.5
"8426","LOC105675707","gene9946","G-protein coupled receptor Mth2-like",3198
"2542","LOC105669824","gene4405","asparagine synthetase domain-containing protein 1",2638
"940","LOC105668222","gene3017","NADP-dependent malic enzyme",2286.66666666667
"942","LOC105668224","gene3019","probable ATP-dependent RNA helicase DDX56",1928
"4178","LOC105671460","gene5913","importin-9",3449
"349","LOC105667631","gene2495","lachesin-like",2624
"310","LOC105667592","gene2493","protein downstream neighbor of son homolog",2251.2
"11790","LOC105679071","gene12926","integrator complex subunit 12-like",3598
"4273","LOC105671555","gene6070","mitochondrial import receptor subunit TOM40 homolog 2-like",1977
"4257","LOC105671539","gene6079","bone morphogenetic protein 7-like",2941
"731","LOC105668013","gene2827","40S ribosomal protein S9",726
"696","LOC105667978","gene2823","eukaryotic translation initiation factor 3 subunit B",2205
"695","LOC105667977","gene2821","26S proteasome non-ATPase regulatory subunit 1",3377.5
"6697","LOC105673979","gene8157","leucine-rich repeat extensin-like protein 3",1635
"9857","LOC105677138","gene11168","ubiquinone biosynthesis monooxygenase COQ6-like",516
"9879","LOC105677160","gene11165","uncharacterized aarF domain-containing protein kinase 1",2105
"6270","LOC105673552","gene7944","pyruvate dehydrogenase [acetyl-transferring]-phosphatase 1, mitochondrial",1866.5
"11978","LOC105679259","gene13063","homeobox protein goosecoid",1152
"11980","LOC105679261","gene13060","zinc finger RNA-binding protein",4004.5
"4910","LOC105672192","gene6677","coatomer subunit gamma",2851
"4831","LOC105672113","gene6671","anaphase-promoting complex subunit 5",2522
"9485","LOC105676766","gene10786","glycine-rich protein DOT1-like",1539.27272727273
"12681","LOC105679962","gene2003","thioredoxin reductase 1, mitochondrial",1941.66666666667
"12684","LOC105679965","gene2002","uncharacterized oxidoreductase C663.06c",1325
"4884","LOC105672166","gene6691","DDB1- and CUL4-associated factor 13",1538
"3859","LOC105671141","gene5699","uncharacterized LOC105671141",2879
"5113","LOC105672395","gene6808","integrator complex subunit 9",3048
"10050","LOC105677331","gene11311","keratin, type II cytoskeletal 1-like",2522.75
"10394","LOC105677675","gene11693","mediator of RNA polymerase II transcription subunit 17",2649
"8457","LOC105675738","gene9925","inhibitor of growth protein 3",2392.5
"3485","LOC105670767","gene578","uncharacterized LOC105670767",1420.66666666667
"8830","LOC105676111","gene1059","protein Wnt-10a",2557
"8835","LOC105676116","gene1058","protein Wnt-6",4278.66666666667
"3368","LOC105670650","gene5200","tyrosine--tRNA ligase, cytoplasmic",1933.33333333333
"4120","LOC105671402","gene5971","uncharacterized LOC105671402",3620
"7722","LOC105675003","gene9214","xaa-Pro dipeptidase",2702
"11607","LOC105678888","gene12634","uncharacterized LOC105678888",1801
"11576","LOC105678857","gene12637","pleiotropic regulator 1",2104
"11406","LOC105678687","gene12633","uncharacterized LOC105678687",1494
"11574","LOC105678855","gene12639","nuclear pore complex protein Nup85",2273
"7754","LOC105675035","gene9247","uncharacterized LOC105675035",2249
"5522","LOC105672804","gene7197","organic cation transporter protein-like",2471
"4857","LOC105672139","gene6589","uncharacterized LOC105672139",1953
"12047","LOC105679328","gene16","aspartate--tRNA ligase, cytoplasmic",1869
"12109","LOC105679390","gene14","putative carbonic anhydrase 3",1315
"8873","LOC105676154","gene10221","protein disulfide-isomerase A3",2050
"1647","LOC105668929","gene3691","protein Asterix",925
"9945","LOC105677226","gene11147","uncharacterized LOC105677226",814.555555555556
"9854","LOC105677135","gene11146","uncharacterized LOC105677135",848
"8565","LOC105675846","gene9995","frizzled-1-like",1665
"11656","LOC105678937","gene12797","uncharacterized LOC105678937",926
"11404","LOC105678685","gene12576","cuticle protein 21-like",933
"11405","LOC105678686","gene12575","cuticle protein-like",1035
"12330","LOC105679611","gene1641","glycosylated lysosomal membrane protein-like",1770
"2458","LOC105669740","gene4509","uncharacterized LOC105669740",5905
"9100","LOC105676381","gene10490","uncharacterized LOC105676381",1345
"9766","LOC105677047","gene11087","RNA-binding protein squid",1616
"9793","LOC105677074","gene11084","60S ribosomal protein L23a",833
"9791","LOC105677072","gene11081","adrenodoxin",1030
"6704","LOC105673986","gene8162","G-protein coupled receptor moody",2262.5
"6574","LOC105673856","gene8163","uncharacterized LOC105673856",1768.5
"3554","LOC105670836","gene5369","protein msta, isoform B-like",1906
"3531","LOC105670813","gene5361","odorant receptor 22c-like",2380
"3532","LOC105670814","gene5360","odorant receptor 82a-like",1505
"6475","LOC105673757","gene8053","Krueppel-like factor 11",2809
"7576","LOC105674857","gene9081","allantoinase, mitochondrial-like",1527.66666666667
"10236","LOC105677517","gene11553","dynein intermediate chain 3, ciliary",2101
"9313","LOC105676594","gene10689","40S ribosomal protein S19a",593
"9602","LOC105676883","gene10939","serine hydroxymethyltransferase, cytosolic",2414.5
