"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"10069","LOC105677350","gene11330","uncharacterized LOC105677350",2345
"10110","LOC105677391","gene11476","gastric triacylglycerol lipase-like",2969
"7905","LOC105675186","gene9384","minor histocompatibility antigen H13",2115
"8264","LOC105675545","gene1010","synaptotagmin-2",876
"8760","LOC105676041","gene10160","uncharacterized LOC105676041",1012
"522","LOC105667804","gene262","uncharacterized family 31 glucosidase KIAA1161",2282.5
"7318","LOC105674600","gene8719","aldose 1-epimerase-like",1357
"3001","LOC105670283","gene4920","uncharacterized LOC105670283",2484
"6241","LOC105673523","gene7905","rhomboid-related protein 3",3886.6
"12590","LOC105679871","gene1822","protein halfway",2207.5
"1021","LOC105668303","gene3222","protein mab-21",2131
"340","LOC105667622","gene2458","prostaglandin reductase 1-like",1408
"11171","LOC105678452","gene12387","alpha-tocopherol transfer protein",2975
"3027","LOC105670309","gene4887","uncharacterized LOC105670309",1300
"6637","LOC105673919","gene8185","ATP-binding cassette sub-family C member 9",8481
"4361","LOC105671643","gene6129","solute carrier family 52, riboflavin transporter, member 3-A-like",2271
"10199","LOC105677480","gene11428","uncharacterized LOC105677480",267
"9913","LOC105677194","gene11198","glucose dehydrogenase [FAD, quinone]-like",2824
"9914","LOC105677195","gene11199","glucose dehydrogenase [FAD, quinone]-like",2134
"2550","LOC105669832","gene4397","phospholipase A2-like",967
"1526","LOC105668808","gene3411","uncharacterized LOC105668808",2629
"11863","LOC105679144","gene13027","putative inorganic phosphate cotransporter",2898
"3432","LOC105670714","gene5298","alpha-amylase A",1628
"3431","LOC105670713","gene5297","alpha-amylase 2-like",1642
"6750","LOC105674032","gene8364","RCC1 and BTB domain-containing protein 1-like",1247
"9038","LOC105676319","gene10537","choline transporter-like protein 1",2838
"7013","LOC105674295","gene8592","facilitated trehalose transporter Tret1",2478
"6292","LOC105673574","gene7817","venom metalloproteinase 3-like",2043
"126","LOC105667408","gene2267","homeobox protein B-H2",6153
"5584","LOC105672866","gene7256","dnaJ homolog subfamily C member 22",1443
"2491","LOC105669773","gene4416","regucalcin-like",1561
"12529","LOC105679810","gene1849","multiple coagulation factor deficiency protein 2 homolog",1456.5
"9455","LOC105676736","gene10790","multidrug resistance-associated protein 4-like",5452
"10809","LOC105678090","gene12034","uncharacterized LOC105678090",5280
"10850","LOC105678131","gene12032","uncharacterized protein KIAA0513",2723
"10851","LOC105678132","gene12033","uncharacterized LOC105678132",497
"11752","LOC105679033","gene12986","coatomer subunit epsilon",1287
"7400","LOC105674681","gene8558","cytochrome P450 6j1-like",2021
"6782","LOC105674064","gene8377","kynurenine/alpha-aminoadipate aminotransferase, mitochondrial-like",1719
"6293","LOC105673575","gene7816","venom metalloproteinase 3-like",2557
"12435","LOC105679716","gene1864","secretin receptor-like",3101.66666666667
"10541","LOC105677822","gene11798","lymphoid-restricted membrane protein-like",4982
"9304","LOC105676585","gene10559","uncharacterized LOC105676585",1026
"7608","LOC105674889","gene9006","uncharacterized LOC105674889",676
"1205","LOC105668487","gene3238","uncharacterized LOC105668487",1660
"11213","LOC105678494","gene12447","solute carrier organic anion transporter family member 4A1",3724
