"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"2765","LOC105670047","gene4664","transmembrane and TPR repeat-containing protein CG4050-like",3702
"6199","LOC105673481","gene7871","CXXC-type zinc finger protein 1-like",1862
"1895","LOC105669177","gene3955","alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",2743
"4751","LOC105672033","gene6530","uncharacterized LOC105672033",3919.5
"4753","LOC105672035","gene6532","xenotropic and polytropic retrovirus receptor 1 homolog",2039.6
"7284","LOC105674566","gene8885","putative deoxyribonuclease TATDN1",1740.5
"5111","LOC105672393","gene6843","uncharacterized LOC105672393",2483
"10578","LOC105677859","gene11755","homeobox protein Nkx-2.4-like",3510
"8226","LOC105675507","gene9549","uncharacterized LOC105675507",1972.5
"7981","LOC105675262","gene9430","uncharacterized LOC105675262",3808.5
"655","LOC105667937","gene2782","cytoplasmic protein NCK1",1988.5
"12864","LOC105680145","gene2164","LIM homeobox transcription factor 1-beta-like",2914.33333333333
"9489","LOC105676770","gene10848","DNA-directed RNA polymerase, mitochondrial",4074
"8161","LOC105675442","gene9470","uncharacterized LOC105675442",2136
"10327","LOC105677608","gene11412","integrator complex subunit 4",3197
"6406","LOC105673688","gene8004","intraflagellar transport protein 22 homolog",2245
"3262","LOC105670544","gene5125","protein phosphatase PTC7 homolog",1453
"11003","LOC105678284","gene12131","uncharacterized LOC105678284",2181
"624","LOC105667906","gene2744","putative ATP-dependent RNA helicase DHX33",2591
"11826","LOC105679107","gene12934","serine/threonine-protein kinase PLK1-like",7071.5
"4428","LOC105671710","gene6112","uncharacterized LOC105671710",7556
"10822","LOC105678103","gene12055","Niemann-Pick C1 protein-like",3134.5
"4785","LOC105672067","gene6470","putative RNA-binding protein Luc7-like 2",3365
"4106","LOC105671388","gene5823","protein SMG8",2916
"12570","LOC105679851","gene1907","rapamycin-insensitive companion of mTOR",5652
"12350","LOC105679631","gene1900","putative N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase GL17147",431
"3737","LOC105671019","gene5579","autism susceptibility gene 2 protein",7432
"7129","LOC105674411","gene8623","tubulin alpha-1 chain-like",1977
"7128","LOC105674410","gene8625","DNA-directed RNA polymerase II subunit RPB2",3939
"8535","LOC105675816","gene9860","ATP-binding cassette sub-family F member 1",2324
"3202","LOC105670484","gene5105","prisilkin-39-like",1286
"8254","LOC105675535","gene9716","armadillo segment polarity protein",3220
"4035","LOC105671317","gene5817","transmembrane protein 98-like",886
"4355","LOC105671637","gene6133","bromodomain-containing protein 7",3050.25
"5770","LOC105673052","gene7424","pre-mRNA-splicing factor RBM22",1660
"7160","LOC105674442","gene8724","protein N-terminal asparagine amidohydrolase",4614
"8348","LOC105675629","gene9473","doublesex- and mab-3-related transcription factor A2",3536.5
"9131","LOC105676412","gene10449","protein SCAI",2391.33333333333
"211","LOC105667493","gene2406","pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",3090
"7381","LOC105674662","gene8721","uncharacterized protein C18orf8",2265
"8081","LOC105675362","gene9502","paraplegin",2671
"11196","LOC105678477","gene12363","GDP-fucose protein O-fucosyltransferase 1",1456
"2755","LOC105670037","gene4608","hemicentin-1-like",4173
"1630","LOC105668912","gene3653","P protein-like",3073
"5641","LOC105672923","gene7296","nucleoporin SEH1",1909
"2276","LOC105669558","gene4204","splicing factor, suppressor of white-apricot homolog",2734
"3721","LOC105671003","gene5557","uncharacterized LOC105671003",1155
"7291","LOC105674573","gene8609","eukaryotic translation initiation factor 3 subunit C",2968
"3233","LOC105670515","gene5163","uncharacterized LOC105670515",720
"12504","LOC105679785","gene1712","ATP-binding cassette sub-family F member 3",2381
"12505","LOC105679786","gene1716","splicing factor 3B subunit 2",2704.66666666667
"4439","LOC105671721","gene6153","myotubularin-related protein 9",2474
"5760","LOC105673042","gene7403","uncharacterized LOC105673042",2026
"388","LOC105667670","gene2533","lipoma HMGIC fusion partner-like 2 protein",1178
"10634","LOC105677915","gene11847","vasorin",4076
"9061","LOC105676342","gene10463","putative sodium-coupled neutral amino acid transporter 11",7180
"4933","LOC105672215","gene6719","rabankyrin-5",4202
"4633","LOC105671915","gene6437","protein singed",4115
"1092","LOC105668374","gene3093","nidogen-2",4339.25
"12178","LOC105679459","gene1523","enhancer of split m7 protein-like",1323
"5885","LOC105673167","gene7602","uncharacterized LOC105673167",870
"9490","LOC105676771","gene10850","proton-associated sugar transporter A-like",3001
"9491","LOC105676772","gene10851","synaptic vesicle glycoprotein 2B-like",2021
"9525","LOC105676806","gene10855","GPI ethanolamine phosphate transferase 2",2956
"7179","LOC105674461","gene8664","WD repeat-containing protein 13-like",2000
"10154","LOC105677435","gene11512","uncharacterized LOC105677435",870
"1488","LOC105668770","gene3460","hemicentin-2-like",4105
"5871","LOC105673153","gene7566","peritrophin-44",1440
"5872","LOC105673154","gene7563","uncharacterized LOC105673154",1104
"8108","LOC105675389","gene9584","mucin-5AC",4220
"9953","LOC105677234","gene11286","uncharacterized LOC105677234",514
"11318","LOC105678599","gene1283","OTU domain-containing protein 5-B",2475.5
"10622","LOC105677903","gene11861","uncharacterized LOC105677903",555
"10639","LOC105677920","gene11862","tyrosine-protein kinase hopscotch",4349
"5240","LOC105672522","gene6887","rho-related BTB domain-containing protein 1",4338.75
"6763","LOC105674045","gene8349","uncharacterized LOC105674045",11490.8888888889
"5546","LOC105672828","gene770","splicing factor 3B subunit 4-like",1468
"2314","LOC105669596","gene4221","Down syndrome cell adhesion molecule-like protein Dscam2",6522.66666666667
"2128","LOC105669410","gene4080","uncharacterized LOC105669410",3695
"1198","LOC105668480","gene3071","uncharacterized LOC105668480",3174.5
"7036","LOC105674318","gene8742","zinc finger protein 514-like",603
"3677","LOC105670959","gene5513","iroquois-class homeodomain protein IRX-3",4840
"3675","LOC105670957","gene5510","uncharacterized LOC105670957",5350.5
"5328","LOC105672610","gene6962","phosphatidylinositol 4-kinase type 2-alpha",2766
"5297","LOC105672579","gene6966","uncharacterized LOC105672579",1138
"5295","LOC105672577","gene6967","DNA repair and recombination protein RAD54-like",2810
"5279","LOC105672561","gene6968","V-type proton ATPase subunit B",1794
"7266","LOC105674548","gene8647","protein O-mannosyl-transferase 2",3042
"6501","LOC105673783","gene8139","uncharacterized LOC105673783",5696
"377","LOC105667659","gene2522","cadherin-89D",6374
"10480","LOC105677761","gene11678","ATP-dependent RNA helicase Ddx1",2632
"10421","LOC105677702","gene11674","probable protein S-acyltransferase 23",2315
"9521","LOC105676802","gene10814","ubiquitin carboxyl-terminal hydrolase calypso",4725
"9523","LOC105676804","gene10815","uncharacterized LOC105676804",1667
"9522","LOC105676803","gene10813","ras guanine nucleotide exchange factor B-like",5087.5
"10241","LOC105677522","gene11491","nucleoporin Nup37",1341
"10278","LOC105677559","gene11495","integrator complex subunit 11",2122.75
"6717","LOC105673999","gene8151","G patch domain-containing protein 2-like",1912
"8099","LOC105675380","gene9774","uncharacterized LOC105675380",4014
"1470","LOC105668752","gene3447","uncharacterized LOC105668752",1564
"7165","LOC105674447","gene8786","uncharacterized LOC105674447",4220
"10826","LOC105678107","gene12062","uncharacterized LOC105678107",3398
"2154","LOC105669436","gene4130","poly(U)-specific endoribonuclease homolog",2708
"7302","LOC105674584","gene8582","importin-13",3185.5
"7148","LOC105674430","gene8586","coatomer subunit beta'",3230
"8550","LOC105675831","gene9981","uncharacterized LOC105675831",1619
"8578","LOC105675859","gene9983","kinesin-like protein KIF3B",2760.5
"4960","LOC105672242","gene6753","uncharacterized LOC105672242",10331
"3329","LOC105670611","gene5263","ubiquitin carboxyl-terminal hydrolase 3-like",4233
"11387","LOC105678668","gene12657","intron-binding protein aquarius",5050
"6336","LOC105673618","gene7838","probable multidrug resistance-associated protein lethal(2)03659",4966
"829","LOC105668111","gene2928","uncharacterized LOC105668111",342
"4051","LOC105671333","gene6031","probable ATP-dependent RNA helicase DDX46",3350
"9413","LOC105676694","gene10749","protein CLEC16A",3368.5
"9674","LOC105676955","gene10998","uncharacterized LOC105676955",1510.33333333333
"1351","LOC105668633","gene367","calmodulin-2/4-like",1981
"3363","LOC105670645","gene5248","tumor necrosis factor alpha-induced protein 8-like protein",2702
"4228","LOC105671510","gene6012","uncharacterized LOC105671510",1890
"6107","LOC105673389","gene7747","lipoma HMGIC fusion partner-like 3 protein",2935
"6614","LOC105673896","gene8176","ankyrin repeat domain-containing protein 29",2201
"9395","LOC105676676","gene10760","eukaryotic translation initiation factor 3 subunit G",1136
"9417","LOC105676698","gene10763","elongation factor 1-alpha",2634
"11324","LOC105678605","gene12483","cactin",2589
"10839","LOC105678120","gene12027","uncharacterized LOC105678120",3218
"2000","LOC105669282","gene3974","uncharacterized LOC105669282",1265.5
"7042","LOC105674324","gene8748","zinc finger protein 467-like",750
"3364","LOC105670646","gene5221","THO complex subunit 5 homolog",2341
"8429","LOC105675710","gene9940","target of rapamycin complex 2 subunit MAPKAP1",1680
"8431","LOC105675712","gene9942","peptidyl-prolyl cis-trans isomerase-like",800
"8243","LOC105675524","gene9726","cytochrome P450 18a1",5828
"54","LOC105667336","gene2231","phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform",1938
"36","LOC105667318","gene2236","dentin sialophosphoprotein-like",3011.2
"7641","LOC105674922","gene9054","BRCA1-associated protein",1986
"938","LOC105668220","gene3016","serine/threonine-protein kinase Doa",2057.75
"699","LOC105667981","gene2825","intraflagellar transport protein 172 homolog",5567
"9855","LOC105677136","gene11166","ubiquinone biosynthesis monooxygenase COQ6",825
"9884","LOC105677165","gene11163","uncharacterized LOC105677165",2355
"9877","LOC105677158","gene11162","leupaxin",3182.875
"9118","LOC105676399","gene10568","netrin receptor UNC5C-like",4588.2
"9117","LOC105676398","gene10566","netrin receptor UNC5B-like",5330.5
"4911","LOC105672193","gene6674","uncharacterized LOC105672193",2727
"6627","LOC105673909","gene8147","uncharacterized LOC105673909",5872.8
"9458","LOC105676739","gene10787","uncharacterized LOC105676739",2726
"5421","LOC105672703","gene758","shematrin-like protein 2",1124
"4392","LOC105671674","gene6245","ataxin-7-like protein 2",7455.5
"1751","LOC105669033","gene3753","uncharacterized LOC105669033",568
"8459","LOC105675740","gene9927","sideroflexin-2",1882
"7597","LOC105674878","gene9071","zinc finger matrin-type protein CG9776-like",4008
"7599","LOC105674880","gene9074","zinc finger protein 678-like",3372
"4118","LOC105671400","gene5972","protein AATF-like",1760
"4088","LOC105671370","gene5979","WD repeat-containing protein 81",6484
"9149","LOC105676430","gene10543","knirps-related protein-like",4652
"6400","LOC105673682","gene8002","WW domain-binding protein 11",1901
"4407","LOC105671689","gene6260","epidermal growth factor receptor kinase substrate 8-like",6276
"11544","LOC105678825","gene12570","RING finger protein 207-like",4884
"12298","LOC105679579","gene1646","dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B",3486
"12324","LOC105679605","gene1642","CKLF-like MARVEL transmembrane domain-containing protein 4",2286.66666666667
"9792","LOC105677073","gene11085","WASH complex subunit 7",3903
"1178","LOC105668460","gene332","monocarboxylate transporter 12",2905
"5355","LOC105672637","gene6864","cuticle protein 16.5, isoform B-like",2049.4
"3539","LOC105670821","gene5362","uncharacterized LOC105670821",482
"6480","LOC105673762","gene8057","peroxisome biogenesis factor 1",3199
"10231","LOC105677512","gene11558","regulator of nonsense transcripts 3A",2315.5
"10292","LOC105677573","gene11550","polyadenylate-binding protein 4-like",2508
"10297","LOC105677578","gene11552","jouberin-like",3902
"10232","LOC105677513","gene11555","protein disulfide-isomerase",1759
"10055","LOC105677336","gene11335","uncharacterized LOC105677336",3549
"10718","LOC105677999","gene11884","pupal cuticle protein 20-like",3069.85714285714
"8661","LOC105675942","gene10064","uncharacterized LOC105675942",2412
"615","LOC105667897","gene2567","uncharacterized LOC105667897",2605
"8399","LOC105675680","gene9902","sperm-associated antigen 1",2661
"7561","LOC105674842","gene9018","uncharacterized LOC105674842",905
"2578","LOC105669860","gene4456","mitochondrial Rho GTPase",2791.5
"2845","LOC105670127","gene4770","cytochrome P450 6l1-like",555
"12413","LOC105679694","gene1810","NHL repeat-containing protein 2",2620
"12351","LOC105679632","gene1818","nuclear pore complex protein Nup93-like",2562
"10104","LOC105677385","gene11470","DDB1- and CUL4-associated factor 5",2488
"9711","LOC105676992","gene11005","transmembrane channel-like protein 5",2815
"7750","LOC105675031","gene9242","neutral ceramidase",2931.66666666667
"2983","LOC105670265","gene4942","SET and MYND domain-containing protein DDB_G0273589-like",2426.42857142857
"4907","LOC105672189","gene6583","transmembrane protein 230",1370
"5598","LOC105672880","gene7229","dual oxidase maturation factor 1-like",2185
"2903","LOC105670185","gene4817","protein gooseberry-neuro",1864
"3481","LOC105670763","gene5415","uncharacterized LOC105670763",2507
"3514","LOC105670796","gene5414","atrophin-1-like",8680
"11325","LOC105678606","gene13","serine/threonine-protein kinase 11-interacting protein",4291
"1095","LOC105668377","gene3215","uncharacterized LOC105668377",4339.5
"5078","LOC105672360","gene6840","RUN domain-containing protein 1",3226
"5088","LOC105672370","gene6849","ubiquitin-protein ligase E3C",3822.5
"6052","LOC105673334","gene7717","transcription elongation factor SPT5",3613
"8584","LOC105675865","gene10000","tRNA:m(4)X modification enzyme TRM13 homolog",1753
"7908","LOC105675189","gene9360","kin of IRRE-like protein 2",4160
"9042","LOC105676323","gene10600","tyrosine-protein kinase Btk29A",2988
"1553","LOC105668835","gene3527","T-complex protein 1 subunit theta",2136
"1375","LOC105668657","gene3522","uncharacterized LOC105668657",1413
"10957","LOC105678238","gene12183","uncharacterized LOC105678238",2539.5
"1346","LOC105668628","gene3388","Y L amino acid transporter 2",1759.5
"10286","LOC105677567","gene11546","YTH domain-containing family protein 3-like",3519
"9978","LOC105677259","gene11279","TATA-binding protein-associated factor 172",7118
"8893","LOC105676174","gene10271","homocysteine S-methyltransferase 2-like",1806
"3033","LOC105670315","gene4923","probable phosphorylase b kinase regulatory subunit beta",3713.5
"9274","LOC105676555","gene10499","AFG3-like protein 2",2963
"8114","LOC105675395","gene995","microphthalmia-associated transcription factor",3664.66666666667
"4613","LOC105671895","gene6370","long-chain-fatty-acid--CoA ligase 1",2669.25
"4621","LOC105671903","gene6377","uncharacterized LOC105671903",3915.4
"5428","LOC105672710","gene7131","mediator of RNA polymerase II transcription subunit 24",3410
"359","LOC105667641","gene2457","methionine aminopeptidase 2",1855
"7158","LOC105674440","gene8725","zinc finger protein 37-like",5533
"7775","LOC105675056","gene9265","coatomer subunit beta",3566
"3291","LOC105670573","gene5190","protein virilizer",4616
"4813","LOC105672095","gene6560","cytochrome P450 4c3-like",1625
"4856","LOC105672138","gene6561","cell adhesion molecule 1-like",1484.5
"573","LOC105667855","gene2678","protein O-mannosyltransferase 1",2757
"8802","LOC105676083","gene10232","baculoviral IAP repeat-containing protein 7-A-like",2383.33333333333
"1155","LOC105668437","gene3104","CCAAT/enhancer-binding protein",3710
"3627","LOC105670909","gene5466","integrator complex subunit 7",3219
"7833","LOC105675114","gene9341","TLD domain-containing protein 1",2638
"7032","LOC105674314","gene8737","zinc finger protein 319-like",498
"6624","LOC105673906","gene8220","E3 ubiquitin-protein ligase HERC2",15100
"5271","LOC105672553","gene744","folliculin-interacting protein 2",3849.5
"8135","LOC105675416","gene9665","protein furry",10765
"3683","LOC105670965","gene5524","transcription factor Sox-1",3433.35714285714
"2533","LOC105669815","gene4443","vacuolar protein sorting-associated protein 8 homolog",4146
"7669","LOC105674950","gene9172","chromodomain-helicase-DNA-binding protein 7",11510
"8010","LOC105675291","gene9486","UPF0553 protein C9orf64 homolog",1120
"10907","LOC105678188","gene12082","116 kDa U5 small nuclear ribonucleoprotein component",3223
"5669","LOC105672951","gene7340","meiotic recombination protein SPO11",2488
"4658","LOC105671940","gene6359","uncharacterized LOC105671940",2239.5
"11311","LOC105678592","gene1286","ATP-binding cassette sub-family B member 10, mitochondrial",2699
"9754","LOC105677035","gene11069","ATP-dependent zinc metalloprotease YME1 homolog",2664.5
"7216","LOC105674498","gene8655","",1099
"7085","LOC105674367","gene8697","BTB/POZ domain-containing protein KCTD9",2113
"7458","LOC105674739","gene8961","sorting nexin-8-like",2158
"4787","LOC105672069","gene6505","digestive organ expansion factor homolog",2643
"983","LOC105668265","gene3125","sialin-like",1965
"3543","LOC105670825","gene5409","optomotor-blind protein",5640
"4885","LOC105672167","gene6690","uncharacterized LOC105672167",1067
"7056","LOC105674338","gene8758","protein bric-a-brac 2",3359.33333333333
"9734","LOC105677015","gene11003","transitional endoplasmic reticulum ATPase TER94",2774
"2266","LOC105669548","gene4271","filamin-A",9157
"4741","LOC105672023","gene6525","uncharacterized LOC105672023",7133
"8236","LOC105675517","gene9521","carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein",4228.5
"12343","LOC105679624","gene1788","ETS translocation variant 1",2090
"12492","LOC105679773","gene1784","colorectal mutant cancer protein",3692.5
"1411","LOC105668693","gene3496","RNA-binding protein 4.1",2992.33333333333
"12091","LOC105679372","gene1430","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 1",2601.75
"12090","LOC105679371","gene1432","pre-mRNA-processing factor 6",3009
"386","LOC105667668","gene2532","prolyl 3-hydroxylase OGFOD1",2683
"12538","LOC105679819","gene1894","protein Red",2055
"9872","LOC105677153","gene11219","cyclin-dependent kinase 8",1500.5
"7944","LOC105675225","gene977","kelch-like ECH-associated protein 1",2610.5
"7875","LOC105675156","gene972","ATP-binding cassette sub-family G member 5",2389.2
"11473","LOC105678754","gene12592","spermatogenesis-associated protein 20",2904.16666666667
"2787","LOC105670069","gene4651","uncharacterized LOC105670069",6639
"1976","LOC105669258","gene3944","DDB1- and CUL4-associated factor 6-like",3650
"8732","LOC105676013","gene10087","uncharacterized LOC105676013",1476
"3025","LOC105670307","gene4888","serine/threonine-protein kinase 33-like",2972
"7057","LOC105674339","gene8757","longitudinals lacking protein, isoform G-like",1872.94444444444
"8172","LOC105675453","gene9613","serine racemase-like",2889.5
"2529","LOC105669811","gene4463","forkhead box protein K1",2980.5
"4049","LOC105671331","gene624","cell cycle checkpoint control protein RAD9A",1711
"5628","LOC105672910","gene7303","serine/threonine-protein kinase greatwall",2671
"5606","LOC105672888","gene7302","serine proteinase stubble",2266
"8054","LOC105675335","gene9496","prickle-like protein 3",4584.6
"11691","LOC105678972","gene12777","ubiquitin carboxyl-terminal hydrolase 1",2139
"6631","LOC105673913","gene8189","protein outspread",9992
"3303","LOC105670585","gene5119","E3 ubiquitin-protein ligase MARCH2-like",639
"6578","LOC105673860","gene8267","zinc finger protein 493-like",2053
"11007","LOC105678288","gene12126","WD repeat-containing protein on Y chromosome-like",2968
"1131","LOC105668413","gene3187","uncharacterized LOC105668413",2292
"1132","LOC105668414","gene3189","b(0, )-type amino acid transporter 1",2135
"5954","LOC105673236","gene7537","cerebellar degeneration-related protein 2-like",3290
"6367","LOC105673649","gene7983","myotubularin-related protein 3",3490
"10993","LOC105678274","gene1270","protein inscuteable homolog",2632
"11644","LOC105678925","gene12802","uncharacterized LOC105678925",789
"4686","LOC105671968","gene6468","uncharacterized LOC105671968",8782
"5856","LOC105673138","gene7469","uncharacterized LOC105673138",1410.8
"1697","LOC105668979","gene3640","exocyst complex component 8",2720
"2770","LOC105670052","gene4616","A disintegrin and metalloproteinase with thrombospondin motifs 7",5250.33333333333
"5342","LOC105672624","gene6919","X-ray repair cross-complementing protein 5-like",2014
"9466","LOC105676747","gene10842","RCC1 and BTB domain-containing protein 1-like",2494.2
"9467","LOC105676748","gene10847","cysteine sulfinic acid decarboxylase",2346
"7078","LOC105674360","gene894","high-affinity choline transporter 1-like",2581
"9899","LOC105677180","gene11207","inhibitor of nuclear factor kappa-B kinase subunit epsilon",3120
"180","LOC105667462","gene2347","NACHT and WD repeat domain-containing protein 1",5017
"11047","LOC105678328","gene12149","T-lymphocyte activation antigen CD86-like",6301.5
"5988","LOC105673270","gene7555","DNA ligase 1",3069
"5990","LOC105673272","gene7557","flocculation protein FLO11",3963
"4373","LOC105671655","gene6140","gliomedin",3512
"11137","LOC105678418","gene1250","T-complex protein 1 subunit beta",1737
"11554","LOC105678835","gene12686","tubulin polyglutamylase ttll6",1703.5
"1144","LOC105668426","gene3082","transmembrane and TPR repeat-containing protein CG4341",2647
"6474","LOC105673756","gene8047","phosphatidylserine synthase 1",1873.75
"12193","LOC105679474","gene1533","ecto-NOX disulfide-thiol exchanger 2",2538.33333333333
"9471","LOC105676752","gene10868","cell growth regulator with RING finger domain protein 1-like",4184.5
"6952","LOC105674234","gene8497","neurochondrin homolog",2599
"12519","LOC105679800","gene1709","protein pellino",2426
"8227","LOC105675508","gene9724","serine/threonine-protein kinase fused",2967.33333333333
"4111","LOC105671393","gene5846","presequence protease, mitochondrial",3656
"4112","LOC105671394","gene5847","ankyrin repeat domain-containing protein 27-like",3492
"8119","LOC105675400","gene9519","uncharacterized LOC105675400",4773
"5451","LOC105672733","gene7139","ATP-dependent RNA helicase DDX42",2525
"1416","LOC105668698","gene3413","metalloproteinase inhibitor 3",2309.5
"5963","LOC105673245","gene7571","RNA-binding protein 1",1230.83333333333
"2610","LOC105669892","gene4468","tubulin beta chain-like",1399
"4995","LOC105672277","gene6767","RNA/RNP complex-1-interacting phosphatase-like",1658
"4992","LOC105672274","gene6768","uncharacterized LOC105672274",6078
"11131","LOC105678412","gene12401","uncharacterized LOC105678412",4793.5
"11928","LOC105679209","gene12975","probable serine/threonine-protein kinase yakA",6214
"8178","LOC105675459","gene9674","armadillo repeat-containing protein 8-like",2615
"5304","LOC105672586","gene6954","SWI/SNF complex subunit SMARCC2",4342
"9453","LOC105676734","gene10805","villin-1",2712
"9511","LOC105676792","gene10825","uncharacterized LOC105676792",3352.5
"9330","LOC105676611","gene10539","serine/threonine-protein kinase 10",4825
"10102","LOC105677383","gene11460","uncharacterized LOC105677383",4113.5
"9428","LOC105676709","gene10739","triple functional domain protein",8559.55555555555
"9379","LOC105676660","gene10731","uncharacterized LOC105676660",2088
"8185","LOC105675466","gene9749","uncharacterized LOC105675466",2269
"2286","LOC105669568","gene4236","WD repeat-containing protein 24",2729
"4100","LOC105671382","gene5865","TGF-beta-activated kinase 1 and MAP3K7-binding protein 3",2500.4
"2223","LOC105669505","gene4238","probable nucleolar GTP-binding protein 1",2202
"2029","LOC105669311","gene4029","uncharacterized LOC105669311",537
"11355","LOC105678636","gene1291","nuclear pore complex protein Nup133",3741
"11411","LOC105678692","gene1296","uncharacterized LOC105678692",2331
"8079","LOC105675360","gene9503","hamartin",3744
"8568","LOC105675849","gene9999","uncharacterized LOC105675849",639
"8562","LOC105675843","gene9990","leucine-rich repeat-containing protein 57",1080
"8082","LOC105675363","gene9504","major facilitator superfamily domain-containing protein 6",2211.33333333333
"3429","LOC105670711","gene5299","uncharacterized LOC105670711",2222
"10982","LOC105678263","gene12199","UNC93-like protein",5710
"1599","LOC105668881","gene3629","carbonic anhydrase-related protein 10",2885.25
"12680","LOC105679961","gene1999","DNA damage-binding protein 1",3940
"5278","LOC105672560","gene6972","ATP-dependent RNA helicase abstrakt",2333
"9040","LOC105676321","gene10533","uridine-cytidine kinase-like 1",2048
"5157","LOC105672439","gene7052","alpha-sarcoglycan",2713.2
"10724","LOC105678005","gene11943","protein sidekick",9261.5
"10227","LOC105677508","gene11410","neuronal calcium sensor 2",4263.33333333333
"10289","LOC105677570","gene11414","nuclear pore complex protein Nup214",5070
"4229","LOC105671511","gene5884","U3 small nucleolar RNA-associated protein 18 homolog",1796
"2660","LOC105669942","gene4592","uncharacterized LOC105669942",913
"3458","LOC105670740","gene5312","nephrin",4097.11111111111
"12589","LOC105679870","gene1823","probable ATP-dependent RNA helicase DDX52",1915
"8987","LOC105676268","gene1084","shootin-1",2128.75
"6109","LOC105673391","gene7710","histidine--tRNA ligase, cytoplasmic",2559.5
"12218","LOC105679499","gene1554","programmed cell death protein 2-like",1355
"12902","LOC105680183","gene2192","GTPase-activating Rap/Ran-GAP domain-like protein 3",5549.28571428571
"11187","LOC105678468","gene12381","uncharacterized LOC105678468",3731
"2427","LOC105669709","gene4377","uncharacterized LOC105669709",1380
"7173","LOC105674455","gene8788","voltage-dependent calcium channel subunit alpha-2/delta-3",4035
"2098","LOC105669380","gene4068","uncharacterized LOC105669380",679.5
"1330","LOC105668612","gene3372","AP-1 complex subunit beta-1",3315.5
"3564","LOC105670846","gene5330","odorant receptor 13a-like",742
"1493","LOC105668775","gene3550","neurotrimin-like",1794
"11567","LOC105678848","gene12604","radial spoke head 1 homolog",981
"4203","LOC105671485","gene6002","uncharacterized LOC105671485",2403
"6327","LOC105673609","gene7839","probable multidrug resistance-associated protein lethal(2)03659",4652.4
"705","LOC105667987","gene2831","V-type proton ATPase 116 kDa subunit a isoform 1",3315
"9830","LOC105677111","gene11127","N-acetylgalactosamine kinase",2212
"6128","LOC105673410","gene7662","vacuolar protein sorting-associated protein 51 homolog",2438
