"","ref_gene_name","gene_id","Gene...Description","Gene...Transcripts...Length"
"12895","LOC105680176","gene2180","putative G-protein coupled receptor F59B2.13",1758
"2362","LOC105669644","gene4321","uncharacterized LOC105669644",886
"3960","LOC105671242","gene6036","aminomethyltransferase, mitochondrial",1661
"12724","LOC105680005","gene1987","UPF0676 protein C1494.01",1870
"12737","LOC105680018","gene1989","uncharacterized LOC105680018",2998
"8907","LOC105676188","gene10299","ileal sodium/bile acid cotransporter-like",1952.33333333333
"6468","LOC105673750","gene843","uncharacterized LOC105673750",3248.5
"1814","LOC105669096","gene3808","spondin-1",2959
"1817","LOC105669099","gene3805","vascular endothelial growth factor B-like",705
"12364","LOC105679645","gene1774","rhodopsin",1839
"8360","LOC105675641","gene9799","mucin-19-like",6823
"5154","LOC105672436","gene7038","peroxidase",2610
"8000","LOC105675281","gene9680","fibrillin-1",4239
"2159","LOC105669441","gene4114","methylglutaconyl-CoA hydratase, mitochondrial",1425
"10076","LOC105677357","gene11358","uncharacterized LOC105677357",1046
"3454","LOC105670736","gene5305","uncharacterized LOC105670736",1384.5
"7385","LOC105674666","gene8560","cytochrome P450 6j1-like",1726
"6166","LOC105673448","gene7795","cytochrome P450 6k1-like",1924
"9782","LOC105677063","gene10994","organic cation transporter protein",2966.75
"34","LOC105667316","gene2214","uncharacterized LOC105667316",942
"11420","LOC105678701","gene12679","uncharacterized LOC105678701",8939.5
"2785","LOC105670067","gene4680","serine protease nudel-like",2182
"2706","LOC105669988","gene4688","neither inactivation nor afterpotential protein G",1721
"6028","LOC105673310","gene7744","uncharacterized LOC105673310",1046
"6132","LOC105673414","gene7741","C-C chemokine receptor type 3-like",1856
"6133","LOC105673415","gene7743","FMRFamide receptor-like",1893.33333333333
"6131","LOC105673413","gene7742","thyrotropin-releasing hormone receptor-like",1671
"6615","LOC105673897","gene8174","syntaxin-1A-like",1991
"9699","LOC105676980","gene11107","cytochrome P450 9e2-like",2370
"9701","LOC105676982","gene11101","lipase member H-B-like",1377.5
"11526","LOC105678807","gene1304","uncharacterized LOC105678807",3245
"2340","LOC105669622","gene4302","",994
"397","LOC105667679","gene2539","uncharacterized LOC105667679",1931
"4442","LOC105671724","gene6225","uncharacterized LOC105671724",3744.5
"9758","LOC105677039","gene10971","cytochrome P450 4C1-like",2991.4
"9760","LOC105677041","gene10973","cytochrome P450 4C1-like",1957
"3366","LOC105670648","gene5220","differentially expressed in FDCP 6 homolog",2746
"8436","LOC105675717","gene9944","defensin-2",1389
"2304","LOC105669586","gene4217","CD151 antigen",2249
"6731","LOC105674013","gene8205","protein toll-like",3620
"6043","LOC105673325","gene73","retinol dehydrogenase 11-like",645
"4272","LOC105671554","gene6071","endoplasmic reticulum lectin 1",1885.5
"9538","LOC105676819","gene10820","selenide, water dikinase",2748
"6698","LOC105673980","gene8158","tetra-peptide repeat homeobox protein 1-like",937.666666666667
"632","LOC105667914","gene286","uncharacterized LOC105667914",2915
"6502","LOC105673784","gene8140","sterol O-acyltransferase 1-like",4110
"9120","LOC105676401","gene10564","myrosinase 1",1656.33333333333
"9441","LOC105676722","gene10782","",287
"4396","LOC105671678","gene6246","collagen alpha-2(I) chain-like",1187
"4395","LOC105671677","gene6244","uncharacterized LOC105671677",1434
"10769","LOC105678050","gene12001","uncharacterized LOC105678050",700
"6997","LOC105674279","gene8529","lysophospholipid acyltransferase 2",1988
"11575","LOC105678856","gene12638","bifunctional purine biosynthesis protein PURH",2172
"1641","LOC105668923","gene3694","cathepsin L",1820
"8874","LOC105676155","gene10224","small glutamine-rich tetratricopeptide repeat-containing protein alpha-like",1410
"2388","LOC105669670","gene4345","uncharacterized LOC105669670",2272
"8794","LOC105676075","gene10238","insulin-like growth factor-binding protein complex acid labile subunit",2191
"5233","LOC105672515","gene737","uncharacterized LOC105672515",438
"11991","LOC105679272","gene13040","uncharacterized LOC105679272",700
"11546","LOC105678827","gene12579","uncharacterized LOC105678827",4451
"5447","LOC105672729","gene7143","venom peptide SjAPI-like",691
"6939","LOC105674221","gene8509","uncharacterized LOC105674221",1326
"8673","LOC105675954","gene10069","bone morphogenetic protein 1-like",5868
"8204","LOC105675485","gene9679","fibrillin-1-like",4322
"595","LOC105667877","gene31","retinol dehydrogenase 11-like",644
"506","LOC105667788","gene2660","laminin subunit beta-1",6477
"859","LOC105668141","gene2952","alpha-methylacyl-CoA racemase",1055
"12418","LOC105679699","gene1813","uncharacterized LOC105679699",1108
"8914","LOC105676195","gene10214","RNA exonuclease 4",1247.2
"8912","LOC105676193","gene10215","senecionine N-oxygenase-like",1605.5
"7715","LOC105674996","gene9262","ras-related and estrogen-regulated growth inhibitor",1520
"5053","LOC105672335","gene719","uncharacterized LOC105672335",3179
"11924","LOC105679205","gene13029","putative inorganic phosphate cotransporter",1562
"1421","LOC105668703","gene3564","membrane metallo-endopeptidase-like 1",3461
"12836","LOC105680117","gene2129","uncharacterized LOC105680117",1020
"3492","LOC105670774","gene5383","endocuticle structural glycoprotein SgAbd-1-like",928
"3494","LOC105670776","gene5381","endocuticle structural glycoprotein SgAbd-4-like",1050
"9578","LOC105676859","gene10915","uncharacterized LOC105676859",694
"9577","LOC105676858","gene10914","uncharacterized LOC105676858",888
"7803","LOC105675084","gene9380","uncharacterized LOC105675084",1991
"9046","LOC105676327","gene10602","insulin-like growth factor-binding protein complex acid labile subunit",1262
"6145","LOC105673427","gene7707","uncharacterized LOC105673427",1329
"4805","LOC105672087","gene6547","lipid storage droplets surface-binding protein 1",1657
"4807","LOC105672089","gene6549","lipid storage droplets surface-binding protein 2-like",1597
"10958","LOC105678239","gene12187","uncharacterized LOC105678239",1467
"9977","LOC105677258","gene11276","uncharacterized LOC105677258",1108
"11612","LOC105678893","gene12757","uncharacterized LOC105678893",3770
"8126","LOC105675407","gene997","inhibin beta E chain",2358
"1821","LOC105669103","gene3814","Krueppel homolog 2",1537
"11410","LOC105678691","gene12535","scavenger receptor class B member 1-like",3280
"7973","LOC105675254","gene9413","uncharacterized LOC105675254",1997
"10022","LOC105677303","gene11327","nuclear pore complex protein DDB_G0274915-like",1978
"2367","LOC105669649","gene4328","C-C chemokine receptor type 1-like",1381
"3624","LOC105670906","gene5464","leucine-rich repeat transmembrane neuronal protein 2-like",1520
"12810","LOC105680091","gene204","uncharacterized LOC105680091",1379
"3180","LOC105670462","gene5059","protein takeout-like",1608
"8265","LOC105675546","gene9662","uncharacterized LOC105675546",4860.5
"10488","LOC105677769","gene1198","uncharacterized LOC105677769",2464
"10002","LOC105677283","gene11288","alpha-aminoadipic semialdehyde synthase, mitochondrial",3464
"1904","LOC105669186","gene420","uncharacterized LOC105669186",1378
"4584","LOC105671866","gene6352","serine protease gd-like",3495.375
"1924","LOC105669206","gene423","uncharacterized LOC105669206",207
"9707","LOC105676988","gene11061","zinc finger protein 764",2416.5
"7267","LOC105674549","gene8651","L-asparaginase-like",2085
"12710","LOC105679991","gene1976","lysozyme-like",1006
"2327","LOC105669609","gene4229","uncharacterized LOC105669609",1546
"9012","LOC105676293","gene10624","CD63 antigen",1105
"9017","LOC105676298","gene10626","peptidoglycan-recognition protein 2",1107
"9015","LOC105676296","gene10622","CD63 antigen-like",1970
"5136","LOC105672418","gene6991","uncharacterized LOC105672418",2011
"5422","LOC105672704","gene7115","receptor-type tyrosine-protein phosphatase epsilon-like",4194.66666666667
"4788","LOC105672070","gene6504","uncharacterized LOC105672070",2770
"436","LOC105667718","gene2691","succinyl-CoA ligase [GDP-forming] subunit beta, mitochondrial",2387
"7515","LOC105674796","gene9117","uncharacterized LOC105674796",1453
"987","LOC105668269","gene3127","uncharacterized LOC105668269",1614
"907","LOC105668189","gene2992","uncharacterized LOC105668189",2673
"122","LOC105667404","gene229","uncharacterized proline-rich protein-like",731
"75","LOC105667357","gene225","uncharacterized LOC105667357",1417.75
"8403","LOC105675684","gene9892","G-protein coupled receptor Mth2-like",6528
"7431","LOC105674712","gene8940","protein toll-like",1808
"4721","LOC105672003","gene6520","uncharacterized LOC105672003",1501
"4748","LOC105672030","gene6527","laminin subunit alpha",11684
"1440","LOC105668722","gene3490","oxytocin receptor-like",1697.33333333333
"3956","LOC105671238","gene5799","exosome component 10",4286
"3575","LOC105670857","gene5420","leucine-rich repeat-containing protein egg-6",1653
"7145","LOC105674427","gene8775","beta-1,3-glucan-binding protein-like",770
"7144","LOC105674426","gene8774","beta-1,3-glucan-binding protein-like",802
"7136","LOC105674418","gene8776","beta-1,3-glucan-binding protein-like",2222
"1116","LOC105668398","gene3035","putative aldehyde dehydrogenase family 7 member A1 homolog",1972
"9878","LOC105677159","gene1156","cytochrome P450 9e2-like",1928
"10132","LOC105677413","gene1151","cytochrome P450 9e2-like",1796
"9816","LOC105677097","gene1158","cytochrome P450 9e2-like",2292
"7592","LOC105674873","gene9136","glucose dehydrogenase [FAD, quinone]-like",2088.33333333333
"4571","LOC105671853","gene6315","elongation of very long chain fatty acids protein AAEL008004-like",2983.66666666667
"11259","LOC105678540","gene12333","alpha-(1,3)-fucosyltransferase 6-like",2548.88888888889
"6033","LOC105673315","gene7737","pheromone-binding protein Gp-9-like",722
"6136","LOC105673418","gene7739","thyrotropin-releasing hormone receptor-like",1911
"6075","LOC105673357","gene7752","uncharacterized LOC105673357",2248
"2769","LOC105670051","gene4650","icarapin-like",1255
"2411","LOC105669693","gene4351","aryl hydrocarbon receptor nuclear translocator-like protein 1",5281
"9023","LOC105676304","gene10418","uncharacterized LOC105676304",2290
"12458","LOC105679739","gene1682","uncharacterized LOC105679739",13477
"679","LOC105667961","gene2793","uncharacterized LOC105667961",1464
"12896","LOC105680177","gene2179","FMRFamide receptor-like",1936.5
"12898","LOC105680179","gene2178","kappa-type opioid receptor-like",2322
"2692","LOC105669974","gene4632","UDP-glucuronosyltransferase 2C1-like",2030
"6507","LOC105673789","gene8131","glycerol kinase-like",2529.42857142857
"6926","LOC105674208","gene8452","uncharacterized LOC105674208",160
"1317","LOC105668599","gene3365","protein toll-like",2106
"12071","LOC105679352","gene1474","uncharacterized LOC105679352",2156
"1162","LOC105668444","gene3180","surfeit locus protein 4 homolog",1659
"618","LOC105667900","gene2581","ATP-binding cassette sub-family D member 1",3259
"4575","LOC105671857","gene6294","uncharacterized LOC105671857",1039
"6485","LOC105673767","gene845","uncharacterized LOC105673767",3004
"5845","LOC105673127","gene7457","centromere-associated protein E",2126.6
"8025","LOC105675306","gene9467","sodium channel and clathrin linker 1-like",1250
"3072","LOC105670354","gene4989","sodium-dependent nutrient amino acid transporter 1-like",3166
"4321","LOC105671603","gene649","probable hydroxyacid-oxoacid transhydrogenase, mitochondrial",1257
"2471","LOC105669753","gene4518","uncharacterized LOC105669753",1992
"4712","LOC105671994","gene6465","fructose-1,6-bisphosphatase 1",1534
"599","LOC105667881","gene2630","uncharacterized LOC105667881",5115
"1290","LOC105668572","gene3342","uncharacterized LOC105668572",1220
"11240","LOC105678521","gene12397","guanine nucleotide-binding protein subunit beta-2",1454
"6644","LOC105673926","gene8282","peroxidase",3085
"10955","LOC105678236","gene1258","uncharacterized LOC105678236",1383
"12856","LOC105680137","gene2131","tryptophan 2,3-dioxygenase",1725
"6471","LOC105673753","gene8048","uncharacterized LOC105673753",3035
"6957","LOC105674239","gene8492","proton-coupled amino acid transporter 4",1604.5
"10782","LOC105678063","gene11997","peptidoglycan-recognition protein LC-like",2691.33333333333
"2551","LOC105669833","gene4398","dihydropyrimidine dehydrogenase [NADP( )]",3474
"8519","LOC105675800","gene9819","slowpoke-binding protein",2099
"5766","LOC105673048","gene7576","uncharacterized LOC105673048",3138
"4704","LOC105671986","gene6494","UPF0553 protein C9orf64-like",1634.85714285714
"9227","LOC105676508","gene10478","alcohol dehydrogenase [NADP( )]",1467
"1112","LOC105668394","gene3063","arrestin homolog",1941
"7638","LOC105674919","gene9025","lysine--tRNA ligase",2323.5
"6463","LOC105673745","gene8124","peroxisome assembly factor 2",2888.5
"8496","LOC105675777","gene9838","transcriptional coactivator YAP1",6986
"8131","LOC105675412","gene9741","lysozyme-like",1687
"12777","LOC105680058","gene2073","uncharacterized LOC105680058",1354
"3942","LOC105671224","gene5863","PTB domain-containing engulfment adapter protein 1-like",2721
"9421","LOC105676702","gene10752","sodium-independent sulfate anion transporter-like",3107.33333333333
"2144","LOC105669426","gene4122","uncharacterized LOC105669426",2807
"2145","LOC105669427","gene4123","uncharacterized LOC105669427",1223.66666666667
"8594","LOC105675875","gene9994","inositol monophosphatase 2-like",1352
"6800","LOC105674082","gene8358","beta-ureidopropionase",1454
"4674","LOC105671956","gene6400","alanine--glyoxylate aminotransferase 2-like",1823
"12809","LOC105680090","gene22","uncharacterized LOC105680090",1387
"7920","LOC105675201","gene9338","glycine N-methyltransferase",1390.5
"10448","LOC105677729","gene11666","uncharacterized LOC105677729",3031
"10446","LOC105677727","gene11667","venom acid phosphatase Acph-1-like",1579
"10445","LOC105677726","gene11665","venom acid phosphatase Acph-1-like",1812.33333333333
"10137","LOC105677418","gene11480","uncharacterized LOC105677418",664
"10094","LOC105677375","gene11484","lipase 3-like",1229
"8165","LOC105675446","gene9769","uncharacterized LOC105675446",4966.28571428571
"4453","LOC105671735","gene6219","prominin-2",4494.33333333333
"2664","LOC105669946","gene4596","kappa-type opioid receptor-like",2101
"2068","LOC105669350","gene4045","uncharacterized LOC105669350",2201
"6547","LOC105673829","gene8072","protein apterous-like",3847.5
"2623","LOC105669905","gene4558","uncharacterized LOC105669905",1606
"4472","LOC105671754","gene6235","Golgi membrane protein 1-like",1209.66666666667
"2446","LOC105669728","gene4418","uncharacterized LOC105669728",1584
"552","LOC105667834","gene276","fatty acid synthase-like",4088
"3392","LOC105670674","gene5255","hemocyte protein-glutamine gamma-glutamyltransferase-like",2587
"1979","LOC105669261","gene3888","leucine-rich repeat-containing G-protein coupled receptor 5A-like",2274
"8276","LOC105675557","gene1013","uncharacterized LOC105675557",402
"1876","LOC105669158","gene43","sorbitol dehydrogenase-like",1877
"5259","LOC105672541","gene7019","cytoplasmic aconitate hydratase-like",3250.66666666667
"5195","LOC105672477","gene7010","phosrestin-2",1840
"5077","LOC105672359","gene6812","thiamine transporter 2-like",3548
"6541","LOC105673823","gene8083","glucose dehydrogenase [FAD, quinone]-like",2158
"2635","LOC105669917","gene4577","MD-2-related lipid-recognition protein-like",631
"5790","LOC105673072","gene7442","translocator protein",1036
"8559","LOC105675840","gene1041","uncharacterized protein K02A2.6-like",561
"49","LOC105667331","gene2223","very long-chain specific acyl-CoA dehydrogenase, mitochondrial",2549
"4197","LOC105671479","gene5908","trans-1,2-dihydrobenzene-1,2-diol dehydrogenase-like",1416
"11433","LOC105678714","gene12623","elongation factor 1-alpha",2998
"11531","LOC105678812","gene12628","FGGY carbohydrate kinase domain-containing protein",2431
"7757","LOC105675038","gene9253","transient-receptor-potential-like protein",3936
"11328","LOC105678609","gene12480","uncharacterized LOC105678609",1945
"2539","LOC105669821","gene4411","aminoacylase-1",2281
"5510","LOC105672792","gene7212","bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)-like",1853
"1669","LOC105668951","gene3688","interferon-related developmental regulator 1-like",3257
"9858","LOC105677139","gene11172","transmembrane protease serine 9-like",3261
"9906","LOC105677187","gene11170","serine protease easter-like",1637
"7724","LOC105675005","gene9218","gonadotropin-releasing hormone II receptor",2337.4
"4967","LOC105672249","gene6667","omega-scoloptoxin-Ssm1a",1697
"5023","LOC105672305","gene720","cytochrome P450 4C1-like",2112
"5120","LOC105672402","gene726","fatty acid synthase-like",6130
"4660","LOC105671942","gene6360","hexokinase-2-like",2121
"11521","LOC105678802","gene12543","putative cystathionine gamma-lyase 2",2029.5
"3551","LOC105670833","gene5372","sn1-specific diacylglycerol lipase beta-like",2644.5
"3490","LOC105670772","gene5376","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase-like",3856
"6996","LOC105674278","gene8530","chaoptin",4933.33333333333
"8442","LOC105675723","gene9915","serine protease snake-like",1651.5
"5326","LOC105672608","gene7030","facilitated trehalose transporter Tret1-like",1629
"8698","LOC105675979","gene1060","neither inactivation nor afterpotential protein C",6233
"4919","LOC105672201","gene6596","cysteine sulfinic acid decarboxylase",2593
"1430","LOC105668712","gene3519","papilin",11202.5
"5000","LOC105672282","gene6591","transferrin",2427
"11122","LOC105678403","gene12443","protein white",2908.5
"9881","LOC105677162","gene11159","hydroxymethylglutaryl-CoA synthase 1",3596
"12416","LOC105679697","gene1804","ras-related protein Rab-32",2554
"6411","LOC105673693","gene8016","uncharacterized LOC105673693",1313
"4976","LOC105672258","gene6604","coiled-coil domain-containing protein 85C",3426
"11993","LOC105679274","gene13037","",254.5
"1708","LOC105668990","gene3727","FMRFamide receptor-like",1842.33333333333
"1709","LOC105668991","gene3726","uncharacterized LOC105668991",1612
"1721","LOC105669003","gene3725","uncharacterized LOC105669003",4474
"1720","LOC105669002","gene3722","uncharacterized LOC105669002",542
"7022","LOC105674304","gene8717","uncharacterized LOC105674304",2308
"6470","LOC105673752","gene8049","endothelin-converting enzyme 1-like",4000
"10893","LOC105678174","gene12122","uncharacterized LOC105678174",1230.66666666667
"6014","LOC105673296","gene7645","beta-1,3-glucosyltransferase",1506
"7889","LOC105675170","gene9312","delta-1-pyrroline-5-carboxylate synthase",3655.75
"3108","LOC105670390","gene4956","bax inhibitor 1",1356
"1658","LOC105668940","gene3709","6-phosphogluconate dehydrogenase, decarboxylating",2364
"7439","LOC105674720","gene8938","",318.333333333333
"7438","LOC105674719","gene8937","",582.8
"7422","LOC105674703","gene8934","",620
"8408","LOC105675689","gene1027","alpha-L-fucosidase-like",1535.2
"4808","LOC105672090","gene6557","uncharacterized LOC105672090",1116.33333333333
